Tid,Supply-demand relationship
115,balance
116,balance
117,balance
118,balance
119,balance
122,balance
123,balance
124,balance
125,balance
126,balance
127,balance
128,balance
129,balance
376,balance
377,balance
378,balance
379,balance
380,balance
381,balance
382,balance
383,balance
384,balance
385,balance
386,balance
387,balance
388,balance
389,balance
390,balance
391,balance
637,balance
638,balance
639,balance
640,balance
641,balance
642,balance
643,balance
644,balance
645,balance
646,balance
647,balance
648,balance
649,balance
650,balance
651,balance
652,balance
897,balance
898,balance
899,balance
900,balance
901,balance
902,balance
903,balance
904,balance
905,balance
906,balance
907,balance
908,balance
909,balance
910,balance
911,balance
912,balance
913,balance
914,balance
1158,balance
1159,balance
1160,balance
1161,balance
1162,balance
1163,balance
1164,balance
1165,balance
1166,balance
1167,balance
1168,balance
1169,balance
1170,balance
1171,balance
1172,balance
1173,balance
1174,balance
1175,balance
1176,balance
1417,balance
1418,balance
1419,balance
1420,balance
1421,balance
1422,balance
1423,balance
1424,balance
1425,balance
1426,balance
1427,balance
1428,balance
1429,balance
1430,balance
1431,balance
1432,balance
1433,balance
1434,balance
1677,balance
1678,balance
1679,balance
1680,balance
1681,balance
1682,balance
1683,balance
1684,balance
1685,balance
1686,balance
1687,balance
1688,balance
1689,balance
1690,balance
1691,balance
1692,balance
1693,balance
1694,balance
1695,balance
1696,balance
1883,balance
1884,balance
1885,balance
1937,balance
1938,balance
1939,balance
1940,balance
1941,balance
1942,balance
1943,balance
1944,balance
1945,balance
1946,balance
1947,balance
1948,balance
1949,balance
1950,balance
1951,balance
1952,balance
1953,balance
1954,balance
1955,balance
1956,balance
1957,balance
1958,balance
1960,balance
1961,balance
2137,balance
2138,balance
2139,balance
2140,balance
2141,balance
2142,balance
2143,balance
2144,balance
2145,balance
2146,balance
2147,balance
2199,balance
2200,balance
2201,balance
2202,balance
2203,balance
2204,balance
2205,balance
2206,balance
2207,surplus
2208,balance
2209,balance
2210,balance
2211,balance
2212,balance
2213,balance
2214,balance
2215,balance
2216,balance
2217,balance
2218,balance
2219,balance
2221,balance
2222,balance
2223,balance
2399,balance
2400,balance
2401,balance
2402,balance
2403,balance
2404,balance
2405,balance
2406,balance
2407,balance
2408,balance
2460,balance
2461,balance
2462,balance
2463,balance
2464,balance
2465,balance
2466,balance
2467,balance
2468,balance
2469,balance
2470,balance
2471,balance
2472,balance
2473,balance
2474,balance
2475,balance
2476,balance
2477,balance
2478,balance
2479,balance
2480,balance
2483,balance
2484,balance
2485,balance
2660,balance
2661,balance
2662,balance
2663,balance
2664,balance
2665,balance
2666,balance
2667,balance
2668,balance
2669,balance
2670,balance
2722,balance
2723,balance
2724,balance
2725,balance
2726,balance
2727,balance
2728,balance
2729,balance
2730,balance
2731,balance
2732,balance
2733,balance
2734,balance
2735,balance
2736,balance
2737,balance
2738,balance
2739,balance
2740,balance
2741,balance
2742,balance
2743,balance
2744,balance
2745,balance
2746,balance
2747,balance
2748,balance
2749,balance
2750,balance
2751,balance
2921,balance
2922,balance
2923,balance
2924,balance
2925,balance
2926,balance
2927,balance
2928,balance
2929,balance
2930,balance
2931,balance
2932,balance
2933,balance
2984,balance
2985,balance
2986,balance
2987,balance
2988,balance
2989,balance
2990,balance
2991,balance
2992,balance
2993,balance
2994,balance
2995,balance
2996,balance
2997,balance
2998,balance
2999,balance
3000,balance
3001,balance
3002,balance
3003,balance
3004,balance
3005,balance
3006,balance
3007,balance
3008,balance
3009,balance
3010,balance
3011,balance
3012,balance
3013,balance
3014,balance
3183,balance
3184,balance
3185,balance
3186,balance
3187,balance
3188,balance
3189,balance
3190,balance
3191,balance
3192,balance
3193,balance
3194,balance
3195,balance
3196,balance
3197,balance
3199,balance
3200,balance
3201,balance
3246,balance
3247,balance
3248,balance
3249,balance
3250,balance
3251,balance
3252,balance
3253,balance
3254,balance
3255,balance
3256,balance
3257,balance
3258,balance
3259,balance
3260,balance
3261,balance
3262,balance
3263,balance
3264,balance
3265,balance
3266,balance
3267,balance
3268,balance
3269,balance
3270,balance
3271,balance
3272,balance
3273,balance
3274,balance
3275,balance
3278,balance
3279,balance
3444,balance
3445,balance
3446,balance
3447,balance
3448,balance
3449,balance
3450,balance
3451,balance
3452,balance
3453,balance
3454,balance
3455,balance
3456,balance
3457,balance
3458,balance
3459,balance
3460,balance
3461,balance
3462,balance
3463,balance
3464,balance
3465,balance
3508,balance
3509,balance
3510,balance
3511,balance
3512,balance
3513,balance
3514,balance
3515,balance
3516,balance
3517,balance
3518,balance
3519,balance
3520,balance
3521,balance
3522,balance
3523,balance
3524,balance
3525,balance
3526,balance
3527,balance
3528,balance
3529,balance
3530,balance
3531,balance
3532,balance
3533,balance
3534,balance
3535,balance
3536,balance
3537,balance
3538,balance
3539,balance
3540,balance
3541,balance
3703,balance
3704,balance
3705,balance
3706,balance
3707,balance
3708,balance
3709,balance
3710,balance
3711,balance
3712,balance
3713,balance
3714,balance
3715,balance
3716,balance
3717,balance
3718,balance
3719,balance
3720,balance
3721,balance
3722,balance
3723,balance
3724,balance
3725,balance
3726,balance
3727,balance
3734,balance
3735,balance
3769,balance
3770,balance
3771,balance
3772,balance
3773,balance
3774,balance
3775,balance
3776,balance
3777,balance
3778,balance
3779,balance
3780,balance
3781,balance
3782,balance
3783,balance
3784,balance
3785,balance
3786,balance
3787,balance
3788,balance
3789,balance
3790,balance
3791,balance
3792,balance
3793,balance
3794,balance
3795,balance
3796,balance
3797,balance
3798,balance
3799,balance
3800,balance
3801,balance
3802,balance
3803,balance
3804,balance
3964,balance
3965,balance
3966,balance
3967,balance
3968,balance
3969,balance
3970,balance
3971,balance
3972,balance
3973,balance
3974,balance
3975,balance
3976,balance
3977,balance
3978,balance
3979,balance
3980,balance
3981,balance
3982,balance
3983,balance
3984,balance
3985,balance
3986,balance
3987,balance
3988,balance
3989,balance
3990,balance
3991,balance
3995,balance
3996,balance
3997,balance
3998,balance
3999,balance
4006,balance
4007,balance
4008,balance
4009,balance
4010,balance
4011,balance
4015,balance
4016,balance
4017,balance
4018,balance
4019,balance
4020,balance
4030,balance
4031,balance
4032,balance
4033,balance
4034,balance
4035,balance
4036,balance
4037,balance
4038,balance
4039,balance
4040,balance
4041,balance
4042,balance
4043,balance
4044,balance
4045,balance
4046,balance
4047,balance
4048,balance
4049,balance
4050,balance
4051,balance
4052,balance
4053,balance
4054,balance
4055,balance
4056,balance
4057,balance
4058,balance
4059,balance
4060,balance
4061,balance
4062,balance
4063,balance
4064,balance
4065,balance
4066,balance
4067,balance
4068,balance
4226,balance
4227,balance
4228,balance
4229,surplus
4230,balance
4231,balance
4232,balance
4233,balance
4234,balance
4235,balance
4236,balance
4237,balance
4238,balance
4239,balance
4240,balance
4241,balance
4242,balance
4243,balance
4244,balance
4245,balance
4246,balance
4247,balance
4248,balance
4249,balance
4250,balance
4251,surplus
4252,balance
4253,balance
4256,balance
4257,balance
4258,balance
4259,balance
4260,balance
4261,balance
4263,balance
4264,balance
4265,balance
4267,balance
4268,balance
4269,balance
4270,balance
4271,balance
4272,balance
4273,balance
4274,balance
4275,balance
4276,balance
4277,balance
4278,balance
4279,balance
4280,balance
4281,balance
4282,balance
4283,balance
4290,balance
4291,balance
4292,balance
4293,balance
4294,balance
4295,balance
4296,balance
4297,balance
4298,balance
4299,balance
4300,balance
4301,balance
4302,balance
4303,balance
4304,balance
4305,balance
4306,balance
4307,balance
4308,balance
4309,balance
4310,balance
4311,balance
4312,balance
4313,balance
4314,balance
4315,balance
4316,balance
4317,balance
4318,balance
4319,balance
4320,balance
4321,balance
4322,balance
4323,balance
4324,balance
4325,balance
4326,balance
4327,balance
4328,balance
4329,balance
4330,balance
4487,balance
4488,balance
4489,balance
4490,balance
4491,balance
4492,balance
4493,balance
4494,balance
4495,balance
4496,balance
4497,balance
4498,balance
4499,balance
4500,balance
4501,balance
4502,balance
4503,balance
4504,balance
4505,balance
4506,balance
4507,balance
4508,balance
4509,balance
4510,balance
4511,balance
4512,balance
4513,balance
4514,balance
4515,balance
4518,balance
4519,balance
4520,balance
4521,balance
4522,balance
4523,balance
4525,balance
4526,balance
4527,balance
4528,balance
4529,balance
4530,balance
4531,balance
4532,balance
4533,balance
4534,balance
4535,balance
4536,balance
4537,balance
4538,balance
4539,balance
4540,balance
4541,balance
4542,balance
4543,balance
4544,balance
4545,balance
4546,balance
4547,balance
4548,balance
4549,balance
4550,balance
4551,balance
4552,balance
4553,balance
4554,balance
4555,balance
4556,balance
4557,balance
4558,balance
4559,balance
4560,balance
4561,balance
4562,balance
4563,balance
4564,balance
4565,balance
4566,balance
4567,balance
4568,balance
4569,balance
4570,balance
4571,balance
4572,balance
4573,balance
4574,balance
4575,balance
4576,balance
4577,balance
4578,balance
4579,balance
4580,balance
4581,balance
4582,balance
4583,balance
4584,balance
4585,balance
4586,balance
4587,balance
4588,balance
4589,balance
4590,balance
4591,balance
4614,balance
4615,balance
4727,balance
4728,balance
4734,balance
4735,balance
4736,balance
4737,balance
4749,balance
4750,balance
4751,balance
4752,balance
4753,balance
4754,balance
4755,balance
4756,balance
4757,balance
4758,balance
4759,balance
4760,balance
4761,balance
4762,balance
4763,balance
4764,balance
4765,balance
4766,balance
4767,balance
4768,balance
4769,balance
4770,balance
4771,balance
4772,balance
4773,balance
4774,balance
4775,balance
4776,balance
4777,balance
4778,balance
4779,balance
4780,balance
4781,balance
4782,balance
4783,balance
4784,balance
4785,balance
4786,balance
4787,balance
4788,balance
4789,balance
4790,balance
4791,balance
4792,balance
4793,balance
4794,balance
4795,balance
4796,balance
4797,balance
4798,balance
4799,balance
4800,balance
4801,balance
4802,balance
4803,balance
4804,balance
4805,balance
4806,balance
4807,balance
4808,balance
4809,balance
4810,balance
4811,balance
4812,balance
4813,balance
4814,balance
4815,balance
4816,balance
4817,balance
4818,balance
4819,balance
4820,balance
4821,balance
4822,balance
4823,balance
4824,balance
4825,balance
4826,balance
4827,balance
4828,balance
4829,balance
4830,balance
4831,balance
4832,balance
4833,balance
4834,balance
4835,balance
4836,balance
4837,balance
4838,balance
4839,balance
4840,balance
4841,balance
4842,balance
4843,balance
4844,balance
4845,balance
4846,balance
4847,balance
4848,balance
4849,balance
4850,balance
4851,balance
4852,balance
4853,balance
4854,balance
4855,balance
4856,balance
4857,balance
4874,balance
4875,balance
4876,balance
4877,balance
4878,balance
4879,balance
4885,balance
4886,balance
4887,balance
4989,balance
4990,balance
4991,balance
4995,balance
4996,balance
4997,balance
4998,balance
4999,balance
5000,balance
5001,balance
5002,balance
5003,balance
5004,balance
5005,balance
5006,balance
5007,balance
5008,balance
5010,balance
5011,balance
5012,balance
5013,balance
5014,balance
5015,balance
5016,balance
5017,balance
5018,balance
5019,balance
5020,balance
5021,balance
5022,balance
5023,balance
5024,balance
5025,surplus
5026,balance
5027,balance
5028,balance
5029,balance
5030,balance
5031,balance
5032,balance
5033,balance
5034,balance
5035,balance
5036,balance
5037,balance
5038,balance
5039,balance
5040,balance
5041,balance
5042,balance
5043,balance
5044,balance
5045,balance
5046,balance
5047,balance
5048,balance
5049,balance
5050,balance
5051,balance
5052,balance
5053,balance
5054,surplus
5055,balance
5056,balance
5057,balance
5058,balance
5059,balance
5060,balance
5061,balance
5062,balance
5063,balance
5064,balance
5065,balance
5066,balance
5067,balance
5068,balance
5069,balance
5070,balance
5071,balance
5072,balance
5073,balance
5074,balance
5075,balance
5076,balance
5077,balance
5078,balance
5079,balance
5080,balance
5081,balance
5082,balance
5083,balance
5084,balance
5085,balance
5086,balance
5087,balance
5088,balance
5089,balance
5090,balance
5091,balance
5092,balance
5093,balance
5094,balance
5095,balance
5096,balance
5097,balance
5098,balance
5099,balance
5100,balance
5101,balance
5102,balance
5103,balance
5104,balance
5105,balance
5106,balance
5107,balance
5108,balance
5109,balance
5110,balance
5111,balance
5112,balance
5113,balance
5114,balance
5115,balance
5116,balance
5117,balance
5118,balance
5119,balance
5120,balance
5127,balance
5128,balance
5129,balance
5130,balance
5131,balance
5132,balance
5133,balance
5134,balance
5135,balance
5136,balance
5137,balance
5138,balance
5139,balance
5140,balance
5141,balance
5147,balance
5148,balance
5149,balance
5251,balance
5252,balance
5253,balance
5254,balance
5256,balance
5257,balance
5258,balance
5259,balance
5260,balance
5261,balance
5262,balance
5263,balance
5264,balance
5265,balance
5266,balance
5267,balance
5268,balance
5269,balance
5270,balance
5271,balance
5272,balance
5273,balance
5274,balance
5275,balance
5276,balance
5277,balance
5278,balance
5279,balance
5280,balance
5281,balance
5282,balance
5283,balance
5284,balance
5285,balance
5286,balance
5287,balance
5288,balance
5289,balance
5290,balance
5291,balance
5292,balance
5293,balance
5294,balance
5295,balance
5296,balance
5297,balance
5298,balance
5299,balance
5300,balance
5301,balance
5302,balance
5303,balance
5304,balance
5305,balance
5306,balance
5307,balance
5308,balance
5309,balance
5310,balance
5311,balance
5312,balance
5313,balance
5314,balance
5315,balance
5316,balance
5317,balance
5318,balance
5319,balance
5320,balance
5321,balance
5322,balance
5323,balance
5324,balance
5325,balance
5326,balance
5327,balance
5328,balance
5329,balance
5330,balance
5331,balance
5332,balance
5333,balance
5334,balance
5335,balance
5336,balance
5337,balance
5338,balance
5339,balance
5340,balance
5341,balance
5342,balance
5343,balance
5344,balance
5345,balance
5346,balance
5347,balance
5348,balance
5349,balance
5350,balance
5351,balance
5352,balance
5353,balance
5354,balance
5355,balance
5356,balance
5357,balance
5358,balance
5359,balance
5360,balance
5361,balance
5362,balance
5363,balance
5364,balance
5365,balance
5366,balance
5367,balance
5368,balance
5369,balance
5370,balance
5371,balance
5372,balance
5373,balance
5374,balance
5375,balance
5376,balance
5377,balance
5378,balance
5379,balance
5380,balance
5381,balance
5382,balance
5383,balance
5389,balance
5390,balance
5391,balance
5392,balance
5393,balance
5394,balance
5395,balance
5396,balance
5397,balance
5398,balance
5399,balance
5400,balance
5401,balance
5407,balance
5408,balance
5409,balance
5410,balance
5411,balance
5412,balance
5513,balance
5514,balance
5515,balance
5516,balance
5517,balance
5518,balance
5519,balance
5520,balance
5521,balance
5522,balance
5523,balance
5524,balance
5525,balance
5526,balance
5527,balance
5528,balance
5529,balance
5530,balance
5531,balance
5532,balance
5533,balance
5534,balance
5535,balance
5536,balance
5537,balance
5538,balance
5539,balance
5540,balance
5541,balance
5542,balance
5543,balance
5544,balance
5545,balance
5546,balance
5547,balance
5548,balance
5549,balance
5550,balance
5551,balance
5552,balance
5553,balance
5554,balance
5555,balance
5556,balance
5557,balance
5558,balance
5559,balance
5560,balance
5561,balance
5562,balance
5563,balance
5564,balance
5565,balance
5566,balance
5567,balance
5568,balance
5569,balance
5570,balance
5571,balance
5572,balance
5573,balance
5574,balance
5575,balance
5576,balance
5577,balance
5578,balance
5579,balance
5580,balance
5581,balance
5582,balance
5583,balance
5584,balance
5585,balance
5586,balance
5587,balance
5588,balance
5589,balance
5590,balance
5591,balance
5592,balance
5593,balance
5594,balance
5595,balance
5596,balance
5597,balance
5598,balance
5599,balance
5600,balance
5601,balance
5602,balance
5603,balance
5604,balance
5605,balance
5606,balance
5607,balance
5608,balance
5609,balance
5610,balance
5611,balance
5612,balance
5613,balance
5614,balance
5615,balance
5616,surplus
5617,balance
5618,balance
5619,balance
5620,balance
5621,balance
5622,balance
5623,balance
5624,balance
5625,balance
5626,balance
5627,balance
5628,balance
5629,balance
5630,balance
5631,balance
5632,balance
5633,balance
5634,balance
5635,balance
5636,balance
5637,surplus
5638,balance
5639,balance
5640,balance
5641,balance
5642,balance
5643,balance
5644,balance
5645,balance
5646,balance
5650,balance
5651,balance
5652,balance
5653,balance
5654,balance
5655,balance
5656,balance
5657,balance
5658,balance
5659,balance
5660,balance
5661,balance
5662,balance
5665,balance
5666,balance
5667,balance
5668,balance
5669,balance
5670,balance
5671,balance
5672,balance
5673,balance
5674,balance
5675,balance
5676,balance
5677,balance
5678,balance
5679,balance
5776,balance
5777,balance
5778,balance
5779,balance
5780,balance
5781,balance
5782,balance
5783,balance
5784,balance
5785,balance
5786,balance
5787,balance
5788,balance
5789,balance
5790,balance
5791,balance
5792,balance
5793,balance
5794,balance
5795,balance
5796,balance
5797,balance
5798,balance
5799,balance
5800,balance
5801,balance
5802,balance
5803,balance
5804,balance
5805,balance
5806,balance
5807,balance
5808,balance
5809,balance
5810,balance
5811,balance
5812,balance
5813,balance
5814,balance
5815,balance
5816,balance
5817,balance
5818,balance
5819,balance
5820,balance
5821,balance
5822,balance
5823,balance
5824,balance
5825,balance
5826,balance
5827,balance
5828,balance
5829,balance
5830,balance
5831,balance
5832,balance
5833,balance
5834,balance
5835,balance
5836,balance
5837,balance
5838,balance
5839,balance
5840,balance
5841,balance
5842,balance
5843,balance
5844,balance
5845,balance
5846,balance
5847,balance
5848,balance
5849,balance
5850,balance
5851,balance
5852,balance
5853,balance
5854,balance
5855,balance
5856,balance
5857,balance
5858,balance
5859,balance
5860,balance
5861,balance
5862,balance
5863,balance
5864,balance
5865,balance
5866,balance
5867,balance
5868,balance
5869,balance
5870,balance
5871,balance
5872,balance
5873,balance
5874,balance
5875,balance
5876,balance
5877,balance
5878,balance
5879,balance
5880,balance
5881,balance
5882,balance
5883,balance
5884,balance
5885,balance
5886,balance
5887,balance
5888,balance
5889,balance
5890,balance
5891,balance
5892,balance
5893,balance
5894,balance
5895,balance
5896,balance
5897,balance
5898,balance
5899,balance
5900,balance
5901,balance
5902,balance
5903,balance
5904,balance
5905,balance
5906,balance
5907,balance
5908,balance
5909,balance
5910,balance
5911,balance
5912,balance
5913,balance
5914,balance
5915,balance
5916,balance
5917,balance
5918,balance
5919,balance
5920,balance
5921,balance
5922,balance
5923,balance
5924,balance
5925,balance
5926,balance
5927,balance
5928,balance
5929,balance
5930,balance
5931,balance
5932,balance
5933,balance
5934,balance
5935,balance
5936,balance
5937,balance
5938,balance
5939,balance
5940,balance
5941,balance
6038,balance
6039,balance
6040,balance
6041,balance
6042,balance
6043,balance
6044,balance
6045,balance
6046,balance
6047,balance
6048,balance
6049,balance
6050,balance
6051,balance
6052,balance
6053,balance
6054,balance
6055,balance
6056,balance
6057,balance
6058,balance
6059,balance
6060,balance
6061,balance
6062,balance
6063,balance
6064,balance
6065,balance
6066,balance
6067,balance
6068,balance
6069,balance
6070,balance
6071,balance
6072,balance
6073,balance
6074,balance
6075,balance
