Tid,Supply-demand relationship
181,balance
182,balance
183,balance
184,balance
185,balance
186,balance
187,balance
188,balance
467,balance
468,balance
469,balance
473,balance
474,balance
475,balance
476,balance
477,balance
478,balance
479,balance
480,balance
481,balance
482,balance
483,balance
484,balance
485,balance
763,balance
764,balance
765,balance
767,balance
768,balance
769,balance
770,balance
771,balance
772,balance
773,balance
774,balance
775,balance
776,balance
777,balance
778,balance
779,balance
780,balance
781,balance
816,balance
817,balance
980,balance
981,balance
1060,balance
1061,balance
1062,balance
1063,balance
1064,balance
1065,balance
1066,balance
1067,balance
1068,balance
1069,balance
1070,balance
1071,balance
1072,balance
1073,balance
1074,balance
1075,balance
1076,balance
1077,balance
1106,balance
1107,balance
1109,balance
1110,balance
1111,balance
1112,balance
1113,balance
1114,balance
1115,balance
1275,balance
1276,balance
1277,balance
1278,balance
1356,balance
1357,balance
1358,balance
1359,balance
1360,balance
1361,balance
1362,balance
1363,balance
1364,balance
1365,balance
1366,balance
1367,balance
1368,balance
1369,balance
1370,balance
1371,balance
1372,balance
1373,balance
1401,balance
1402,balance
1403,balance
1404,balance
1405,balance
1406,balance
1407,balance
1408,balance
1409,balance
1410,balance
1411,balance
1412,balance
1413,balance
1504,balance
1505,balance
1506,balance
1570,balance
1571,balance
1572,balance
1573,balance
1574,balance
1652,balance
1653,balance
1654,balance
1655,balance
1656,balance
1657,balance
1658,balance
1659,balance
1660,balance
1661,balance
1662,balance
1663,balance
1664,balance
1665,balance
1666,balance
1667,balance
1668,balance
1669,balance
1670,balance
1690,balance
1691,balance
1692,balance
1697,balance
1698,balance
1699,balance
1700,balance
1701,balance
1702,deficit
1703,deficit
1704,balance
1705,balance
1706,balance
1707,balance
1708,balance
1709,balance
1800,balance
1801,balance
1802,balance
1803,balance
1804,balance
1865,balance
1866,balance
1867,balance
1868,balance
1869,balance
1870,balance
1947,balance
1948,balance
1949,balance
1950,balance
1951,balance
1952,balance
1953,balance
1954,balance
1955,balance
1956,balance
1957,balance
1958,balance
1959,balance
1960,balance
1961,balance
1962,balance
1963,balance
1964,balance
1965,balance
1966,balance
1967,balance
1968,balance
1969,balance
1970,balance
1971,balance
1985,balance
1986,balance
1987,balance
1988,balance
1991,balance
1992,balance
1993,balance
1994,balance
1995,balance
1996,balance
1997,deficit
1998,deficit
1999,deficit
2000,balance
2001,balance
2002,balance
2003,balance
2004,balance
2005,balance
2006,balance
2084,balance
2085,balance
2086,balance
2087,balance
2094,balance
2095,balance
2096,balance
2097,balance
2098,balance
2099,balance
