Tid,Supply-demand relationship
49,balance
50,balance
51,balance
57,balance
58,balance
177,balance
178,balance
179,balance
180,balance
287,balance
288,balance
289,balance
290,balance
291,balance
295,balance
296,balance
297,balance
298,balance
416,balance
417,balance
418,balance
419,balance
420,balance
421,balance
526,balance
527,balance
528,balance
529,balance
530,balance
531,balance
532,balance
533,balance
534,balance
535,balance
536,balance
537,balance
538,balance
539,balance
540,balance
656,balance
657,balance
658,balance
659,balance
660,balance
764,balance
765,balance
766,balance
767,balance
768,balance
769,balance
770,balance
771,balance
772,balance
773,balance
774,balance
775,balance
776,balance
777,balance
778,surplus
779,balance
780,balance
894,balance
895,balance
896,balance
897,balance
898,balance
899,balance
1003,balance
1004,balance
1005,balance
1006,balance
1007,balance
1008,balance
1009,balance
1010,balance
1011,balance
1012,balance
1013,balance
1014,balance
1015,balance
1016,balance
1017,balance
1018,balance
1019,balance
1020,balance
1130,balance
1131,balance
1132,balance
1133,balance
1134,balance
1135,balance
1136,balance
1137,balance
1138,balance
1242,balance
1243,balance
1244,balance
1245,balance
1246,balance
1247,balance
1248,balance
1249,balance
1250,balance
1251,balance
1252,balance
1253,balance
1254,balance
1255,balance
1256,balance
1257,balance
1258,balance
1259,balance
1260,balance
1369,balance
1370,balance
1371,balance
1372,balance
1373,balance
1374,balance
1375,balance
1376,balance
1377,balance
1481,balance
1482,balance
1483,balance
1484,balance
1485,balance
1486,balance
1487,balance
1488,balance
1489,balance
1490,balance
1491,balance
1492,balance
1493,balance
1494,balance
1495,balance
1496,balance
1497,surplus
1498,balance
1499,balance
1500,balance
1608,balance
1609,balance
1610,balance
1611,balance
1612,balance
1613,balance
1614,balance
1615,balance
1616,balance
1719,balance
1720,balance
1721,balance
1722,balance
1723,balance
1724,balance
1725,balance
1726,balance
1727,balance
1728,balance
1729,balance
1730,balance
1731,balance
1732,balance
1733,balance
1734,deficit
1735,deficit
1736,deficit
1737,deficit
1738,deficit
1739,balance
1740,balance
1741,balance
1847,balance
1848,balance
1849,balance
1850,balance
1851,balance
1852,balance
1853,balance
1854,balance
1855,balance
1856,balance
1857,balance
1958,balance
1959,balance
1960,balance
1961,balance
1962,balance
1963,balance
1964,balance
1965,balance
1966,balance
1967,balance
1968,balance
1969,balance
1970,balance
1971,surplus
1972,deficit
1973,deficit
1974,surplus
1975,deficit
1976,deficit
1977,deficit
1978,deficit
1979,deficit
1980,balance
2086,balance
2087,balance
2088,balance
2089,balance
2090,balance
2091,balance
2092,balance
2093,balance
2094,balance
2095,balance
2096,balance
2097,balance
2098,balance
2099,balance
2196,balance
2197,balance
2198,balance
2199,balance
2200,balance
2201,surplus
2202,balance
2203,balance
2204,balance
2205,balance
2206,surplus
2207,balance
2208,surplus
2209,balance
2210,surplus
2211,deficit
2212,deficit
2213,deficit
2214,deficit
2215,deficit
2216,deficit
2217,deficit
2218,deficit
2219,balance
2323,balance
2324,balance
2325,balance
2326,balance
2327,balance
2328,balance
2329,balance
2330,balance
2331,balance
2332,balance
2333,balance
2334,balance
2335,balance
2336,balance
2337,balance
2338,balance
2435,balance
2436,balance
2437,balance
2438,surplus
2439,balance
2440,balance
2441,balance
2442,balance
2443,balance
2444,balance
2445,balance
2446,balance
2447,balance
2448,balance
2449,balance
2450,deficit
2451,deficit
2452,deficit
2453,deficit
2454,deficit
2455,deficit
2456,deficit
2457,deficit
2458,balance
2560,balance
2561,balance
2562,balance
2563,balance
2564,balance
2565,balance
2566,balance
2567,balance
2568,balance
2569,balance
2570,balance
2571,balance
2572,balance
2573,balance
2574,balance
2575,balance
2576,balance
2674,balance
2675,balance
2676,balance
2677,balance
2678,balance
2679,balance
2680,surplus
2681,balance
2682,surplus
2683,balance
2684,balance
2685,balance
2686,balance
2687,balance
2688,balance
2689,balance
2690,deficit
2691,deficit
2692,deficit
2693,surplus
2694,deficit
2695,surplus
2696,deficit
2697,balance
2698,balance
2799,balance
2800,balance
2801,balance
2802,balance
2803,balance
2804,balance
2805,balance
2806,balance
2807,balance
2808,balance
2809,balance
2810,balance
2811,balance
2812,balance
2813,balance
2814,balance
2815,balance
2817,balance
2818,balance
2819,balance
2913,balance
2914,balance
2915,balance
2916,balance
2917,balance
2918,balance
2919,balance
2920,balance
2921,balance
2922,balance
2923,balance
2924,balance
2925,balance
2926,balance
2927,balance
2928,surplus
2929,balance
2930,surplus
2931,deficit
2932,deficit
2933,surplus
2934,deficit
2935,balance
2936,balance
2937,balance
2938,balance
2939,balance
3038,balance
3039,balance
3040,balance
3041,balance
3042,balance
3043,balance
3044,balance
3045,balance
3046,balance
3047,balance
3048,balance
3049,balance
3050,balance
3051,balance
3052,balance
3053,balance
3054,balance
3055,balance
3056,balance
3057,balance
3058,balance
3059,balance
3060,balance
3061,balance
3062,balance
3063,balance
3153,balance
3154,surplus
3155,balance
3156,balance
3157,balance
3158,balance
3159,balance
3160,balance
3161,balance
3162,balance
3163,balance
3164,balance
3165,balance
3166,balance
3167,balance
3168,balance
3169,balance
3170,balance
3171,surplus
3172,deficit
3173,balance
3174,balance
3175,balance
3176,balance
