Tid,Supply-demand relationship
460,balance
461,balance
462,balance
463,balance
464,balance
1071,balance
1072,balance
1073,balance
1074,balance
1075,balance
1076,balance
1077,balance
1682,balance
1683,balance
1684,balance
1685,balance
1686,balance
1687,balance
1688,balance
1689,balance
1690,balance
1691,balance
2294,balance
2295,balance
2296,balance
2297,balance
2298,balance
2299,balance
2300,balance
2301,balance
2302,balance
2303,balance
2304,balance
2310,balance
2311,balance
2312,balance
2313,balance
2314,balance
2885,balance
2886,balance
2896,balance
2897,balance
2906,balance
2907,balance
2908,balance
2909,balance
2910,balance
2911,balance
2912,balance
2913,balance
2914,balance
2915,balance
2916,balance
2917,balance
2922,balance
2923,balance
2924,balance
2925,balance
2926,balance
2927,balance
3498,balance
3499,balance
3508,balance
3509,balance
3510,balance
3511,balance
3512,balance
3513,balance
3519,balance
3520,balance
3521,balance
3522,balance
3523,balance
3524,balance
3525,balance
3526,balance
3527,balance
3528,balance
3529,balance
3530,balance
3531,balance
3532,balance
3533,balance
3534,balance
3535,balance
3536,balance
3537,balance
3538,balance
3539,balance
3540,balance
4110,balance
4111,balance
4112,balance
4113,balance
4120,balance
4121,balance
4122,balance
4123,balance
4124,balance
4125,balance
4126,balance
4127,balance
4128,balance
4129,balance
4130,balance
4131,balance
4132,balance
4133,balance
4134,balance
4135,balance
4136,balance
4137,balance
4138,balance
4139,balance
4140,balance
4141,balance
4142,balance
4143,balance
4144,balance
4145,balance
4146,balance
4147,balance
4148,balance
4149,balance
4150,balance
4151,balance
4152,balance
4153,balance
4722,balance
4723,balance
4724,balance
4725,balance
4726,balance
4727,balance
4728,balance
4733,balance
4734,balance
4735,balance
4736,balance
4737,balance
4738,balance
4739,balance
4740,balance
4741,balance
4742,balance
4743,balance
4744,balance
4745,balance
4746,balance
4747,balance
4748,balance
4749,balance
4750,balance
4751,balance
4752,balance
4753,balance
4754,balance
4755,balance
4756,balance
4757,balance
4758,balance
4759,balance
4760,balance
4761,balance
4762,balance
4763,balance
4764,balance
4765,balance
4766,balance
5334,balance
5335,balance
5336,balance
5337,balance
5338,balance
5339,balance
5340,balance
5341,balance
5342,balance
5345,balance
5346,balance
5347,balance
5348,balance
5349,balance
5350,balance
5351,balance
5352,balance
5353,balance
5354,balance
5355,balance
5356,balance
5357,balance
5358,balance
5359,balance
5360,balance
5361,balance
5362,balance
5363,balance
5364,balance
5365,balance
5366,balance
5367,balance
5368,balance
5369,balance
5370,balance
5371,balance
5372,balance
5373,balance
5374,balance
5375,balance
5376,balance
5377,balance
5378,balance
5947,balance
5948,balance
5949,balance
5950,balance
5951,balance
5952,balance
5953,balance
5954,balance
5955,balance
5956,balance
5958,balance
5959,balance
5960,balance
5961,balance
5962,balance
5963,balance
5964,balance
5965,balance
5966,balance
5967,balance
5968,balance
5969,balance
5970,balance
5971,balance
5972,balance
5973,balance
5974,balance
5975,balance
5976,balance
5977,balance
5978,balance
5979,balance
5980,balance
5981,balance
5982,balance
5983,balance
5984,balance
5985,balance
5986,balance
5987,balance
5988,balance
5989,balance
5990,balance
5991,balance
6560,balance
6561,balance
6562,balance
6563,balance
6564,balance
6565,balance
6566,balance
6567,balance
6568,balance
6569,balance
6570,balance
6571,balance
6572,balance
6573,balance
6574,balance
6575,balance
6576,balance
6577,balance
6578,balance
6579,balance
6580,balance
6581,balance
6582,balance
6583,balance
6584,balance
6585,balance
6586,balance
6587,balance
6588,balance
6589,balance
6590,balance
6591,balance
6592,balance
6593,balance
6594,balance
6595,balance
6596,balance
6597,balance
6598,balance
6599,balance
6600,balance
6601,balance
6602,balance
6603,balance
6604,balance
7173,balance
7174,balance
7175,balance
7176,balance
7177,balance
7178,balance
7179,balance
7180,balance
7181,balance
7182,balance
7183,balance
7184,balance
7185,balance
7186,balance
7187,balance
7188,balance
7189,balance
7190,balance
7191,balance
7192,balance
7193,balance
7194,balance
7195,balance
7196,balance
7197,balance
7198,balance
7199,balance
7200,balance
7201,balance
7202,balance
7203,balance
7204,balance
7205,balance
7206,balance
7207,balance
7208,balance
7209,balance
7210,balance
7211,balance
7212,balance
7213,balance
7214,balance
7215,balance
7216,balance
7217,balance
7218,balance
7785,balance
7786,balance
7787,balance
7788,balance
7789,balance
7790,balance
7791,balance
7792,balance
7793,balance
7794,balance
7795,balance
7796,balance
7797,balance
7798,balance
7799,balance
7800,balance
7801,balance
7802,balance
7803,balance
7804,balance
7805,balance
7806,balance
7807,balance
7808,balance
7809,balance
7810,balance
7811,balance
7812,balance
7813,balance
7814,balance
7815,balance
7816,balance
7817,balance
7818,balance
7819,balance
7820,balance
7821,balance
7822,balance
7823,balance
7824,balance
7825,balance
7826,balance
7827,balance
7828,balance
7829,balance
7830,balance
7831,balance
7832,balance
8398,balance
8399,balance
