Tid,Supply-demand relationship
6,balance
7,balance
8,balance
9,balance
10,balance
11,balance
12,balance
13,balance
14,balance
310,balance
311,balance
312,balance
313,balance
314,balance
315,balance
316,balance
317,balance
318,balance
319,balance
613,balance
614,balance
615,balance
616,balance
617,balance
618,balance
619,balance
620,balance
621,balance
622,balance
623,balance
624,balance
917,balance
918,balance
919,balance
920,balance
921,balance
922,balance
923,balance
924,balance
925,balance
926,balance
927,surplus
928,balance
1221,balance
1222,balance
1223,balance
1224,balance
1225,balance
1226,balance
1227,balance
1228,balance
1229,balance
1230,balance
1231,balance
1232,balance
1233,balance
1525,balance
1526,balance
1527,balance
1528,balance
1529,balance
1530,balance
1531,balance
1532,balance
1533,balance
1534,balance
1535,balance
1536,balance
1537,balance
1538,balance
1829,balance
1830,balance
1831,balance
1832,balance
1833,balance
1834,balance
1835,balance
1836,balance
1837,balance
1838,balance
1839,balance
1840,balance
1841,balance
1842,balance
1843,balance
2133,balance
2134,balance
2135,balance
2136,balance
2137,balance
2138,balance
2139,balance
2140,balance
2141,balance
2142,balance
2143,balance
2144,balance
2145,balance
2146,balance
2147,balance
2152,balance
2438,balance
2439,balance
2440,balance
2441,balance
2442,balance
2443,surplus
2444,balance
2445,balance
2446,balance
2447,balance
2448,balance
2449,deficit
2450,deficit
2453,balance
2454,balance
2455,balance
2456,balance
2457,balance
2458,balance
2741,balance
2742,balance
2743,balance
2744,balance
2745,balance
2746,balance
2747,balance
2748,balance
2749,balance
2750,balance
2751,balance
2752,balance
2753,balance
2754,deficit
2756,deficit
2757,deficit
2758,deficit
2759,deficit
2760,deficit
2761,balance
2762,balance
2763,balance
2764,balance
2765,balance
3044,balance
3045,balance
3046,balance
3047,balance
3048,balance
3049,balance
3050,balance
3051,balance
3052,balance
3053,balance
3054,balance
3055,balance
3056,surplus
3057,balance
3058,deficit
3059,deficit
3060,deficit
3061,deficit
3062,deficit
3063,surplus
3064,deficit
3065,deficit
3066,balance
3067,balance
3068,balance
3069,balance
3081,balance
3082,balance
3347,balance
3348,balance
3349,balance
3350,balance
3351,balance
3352,balance
3353,balance
3354,balance
3355,balance
3356,balance
3357,balance
3358,balance
3359,balance
3360,balance
3361,balance
3362,balance
3363,deficit
3364,deficit
3365,surplus
3366,deficit
3367,surplus
3368,deficit
3369,balance
3370,balance
3371,balance
3372,balance
3373,balance
3374,balance
3380,balance
3381,balance
3382,balance
3383,balance
3384,balance
3385,balance
3386,balance
3387,balance
3388,balance
3389,balance
3390,balance
3391,deficit
3392,deficit
3393,deficit
3394,deficit
3651,balance
3652,balance
3653,balance
3654,balance
3655,balance
3656,balance
3657,balance
3658,balance
3659,balance
3660,balance
3661,balance
3662,balance
3663,surplus
3664,balance
3665,balance
3666,balance
3667,balance
3668,deficit
3669,deficit
3670,deficit
3671,deficit
3672,deficit
3673,balance
3674,balance
3675,balance
3676,balance
3677,balance
3678,balance
3679,balance
3680,balance
3681,balance
3682,balance
3683,balance
3684,balance
3685,balance
3686,balance
3687,balance
3688,balance
3689,balance
3690,balance
3691,balance
3692,balance
3693,balance
3694,deficit
3695,deficit
3696,deficit
3697,deficit
3698,deficit
3699,deficit
3700,deficit
3701,balance
3954,balance
3955,balance
3956,balance
3957,balance
3958,balance
3959,balance
3960,balance
3961,balance
3962,balance
3963,balance
3964,balance
3965,balance
3966,balance
3967,balance
3968,balance
3969,balance
3970,balance
3971,balance
3972,balance
3973,balance
3974,balance
3975,balance
3976,balance
3977,balance
3978,balance
3979,balance
3980,balance
3981,balance
3982,balance
3983,balance
3984,balance
3985,balance
3986,balance
3987,balance
3988,balance
3989,balance
3990,balance
3991,balance
3992,surplus
3993,balance
3994,balance
3995,balance
3996,balance
3997,balance
3998,deficit
3999,deficit
4000,deficit
4001,deficit
4002,deficit
4003,surplus
4004,deficit
4005,deficit
4006,balance
4258,balance
4259,balance
4260,balance
4261,balance
4262,balance
4263,balance
4264,balance
4265,balance
4266,balance
4267,balance
4268,balance
4269,balance
4270,balance
4271,balance
4272,balance
4273,balance
4274,balance
4275,balance
4276,balance
4277,balance
4278,balance
4279,balance
4280,balance
4281,balance
4282,balance
4283,balance
4284,balance
4285,balance
4286,balance
4287,balance
4288,balance
4289,surplus
4290,balance
4291,balance
4292,balance
4293,balance
4294,balance
4295,balance
4296,balance
4297,balance
4298,balance
4299,balance
4300,balance
4301,deficit
4302,deficit
4303,deficit
4304,deficit
4305,deficit
4306,deficit
4307,deficit
4308,surplus
4309,deficit
4310,deficit
4311,deficit
4562,balance
4563,balance
4564,balance
4565,balance
4566,balance
4567,balance
4568,balance
4569,balance
4570,balance
4571,balance
4572,balance
4573,balance
4574,balance
4575,balance
4576,balance
4577,balance
4578,balance
4579,balance
4580,balance
4581,balance
4582,balance
4583,balance
4584,balance
4585,balance
4586,balance
4587,balance
4588,balance
4589,balance
4590,balance
4591,balance
4592,balance
4593,balance
4594,balance
4595,balance
4596,balance
4597,balance
4598,balance
4599,balance
4600,balance
4601,balance
4602,balance
4603,balance
4604,deficit
4605,deficit
4606,deficit
4607,deficit
4608,deficit
4609,deficit
4610,deficit
4611,deficit
4612,surplus
4613,surplus
4614,deficit
4615,deficit
4616,deficit
4866,balance
4867,balance
4868,balance
4869,balance
4870,balance
4871,balance
4872,balance
4873,balance
4874,balance
4875,balance
4876,balance
4877,balance
4878,balance
4879,balance
4880,balance
4881,balance
4882,balance
4883,balance
4884,balance
4885,balance
4886,balance
4887,balance
4888,balance
4889,balance
4890,balance
4891,balance
4892,balance
4893,balance
4894,balance
4895,balance
4896,balance
4897,balance
4898,balance
4899,balance
4900,balance
4901,balance
4902,balance
4903,balance
4904,balance
4905,balance
4906,balance
4907,balance
4908,surplus
4909,deficit
4910,deficit
4911,deficit
4912,deficit
4913,deficit
4914,deficit
4915,deficit
4916,balance
4917,deficit
4918,deficit
4919,deficit
4920,deficit
5171,balance
5172,balance
5173,balance
5174,balance
5175,balance
5176,balance
5177,balance
5178,balance
5179,balance
5180,balance
5181,balance
5182,balance
5183,balance
5184,balance
5185,balance
5186,balance
5187,balance
5188,balance
5189,balance
5190,balance
5191,balance
5192,balance
5193,balance
5194,balance
5195,balance
5196,balance
5197,balance
5198,balance
5199,balance
5200,balance
5201,balance
5202,balance
5203,balance
5204,balance
5205,balance
5206,balance
5207,balance
5208,balance
5209,balance
5210,balance
5211,balance
5212,balance
5213,deficit
5214,deficit
5215,deficit
5216,deficit
5217,deficit
5218,deficit
5219,deficit
5220,deficit
5221,deficit
5222,surplus
5223,deficit
5224,deficit
5225,deficit
5233,deficit
5234,surplus
5235,surplus
5236,deficit
5237,deficit
5238,deficit
5239,balance
5240,balance
5241,balance
5242,balance
5243,balance
5244,balance
5476,balance
5477,balance
5478,balance
5479,balance
5480,balance
5481,balance
5482,balance
5483,balance
5484,balance
5485,balance
5486,balance
5487,balance
5488,balance
5489,balance
5490,balance
5491,balance
5492,balance
5493,balance
5494,balance
5495,balance
5496,balance
5497,balance
5498,balance
5499,balance
5500,balance
5501,balance
5502,balance
5503,balance
5504,balance
5505,balance
5506,balance
5507,balance
5508,balance
5509,balance
5510,balance
5511,balance
5512,balance
5513,balance
5514,balance
5515,balance
5516,balance
5517,balance
5518,balance
5519,deficit
5520,deficit
5521,deficit
5522,deficit
5523,deficit
5524,deficit
5525,surplus
5526,surplus
5527,surplus
5528,deficit
5529,deficit
5530,balance
5531,deficit
5532,deficit
5533,deficit
5534,deficit
5535,deficit
5536,deficit
5537,deficit
5538,balance
5539,deficit
5540,deficit
5541,surplus
5542,deficit
5543,balance
5544,balance
5545,balance
5546,balance
5547,balance
5548,balance
5780,surplus
5781,balance
5782,balance
5783,balance
5784,balance
5785,balance
5786,balance
5787,balance
5788,balance
5789,balance
5790,balance
5791,balance
5792,balance
5793,balance
5794,balance
5795,balance
5796,balance
5797,balance
5798,balance
5799,balance
5800,balance
5801,balance
5802,balance
5803,balance
5804,balance
5805,balance
5806,balance
5807,balance
5808,balance
5809,balance
5810,balance
5811,balance
5812,balance
5813,balance
5814,balance
5815,balance
5816,balance
5817,balance
5818,balance
5819,balance
5820,balance
5821,balance
5822,balance
5823,deficit
5824,deficit
5825,deficit
5826,deficit
5827,deficit
5828,balance
5829,surplus
5830,deficit
5831,balance
5832,balance
5833,balance
5834,deficit
5835,balance
5836,deficit
5837,deficit
5838,deficit
5839,deficit
5840,deficit
5841,balance
5842,deficit
5843,deficit
5844,surplus
5845,deficit
5846,deficit
5847,balance
5848,deficit
5849,deficit
5850,surplus
5851,balance
5852,balance
5853,balance
6083,balance
6084,balance
6085,balance
6086,balance
6087,balance
6088,balance
6089,balance
6090,balance
6091,surplus
6092,balance
6093,balance
6094,balance
6095,balance
6096,balance
6097,balance
6098,balance
6099,balance
6100,balance
6101,balance
6102,balance
6103,balance
6104,balance
6105,balance
6106,balance
6107,balance
6108,balance
6109,balance
6110,balance
6111,balance
6112,balance
6113,balance
6114,balance
6115,balance
6116,balance
6117,balance
6118,balance
6119,balance
6120,balance
6121,balance
6122,balance
6123,balance
6124,balance
6125,balance
6126,balance
6127,deficit
6128,deficit
6129,deficit
6130,deficit
6131,deficit
6132,deficit
6133,deficit
6134,balance
6135,deficit
6136,balance
6137,deficit
6138,balance
6139,deficit
6140,balance
6141,balance
6142,deficit
6143,deficit
6144,deficit
6145,balance
6146,surplus
6147,surplus
6148,surplus
6149,surplus
6150,deficit
6151,surplus
6152,deficit
6153,deficit
6154,deficit
6155,balance
6156,balance
6157,balance
6158,balance
6384,balance
6385,balance
6386,balance
6387,balance
6388,balance
6389,balance
6390,balance
6391,balance
6392,balance
6393,balance
6394,balance
6395,balance
6396,balance
6397,balance
6398,balance
6399,balance
6400,balance
6401,balance
6402,balance
6403,balance
6404,balance
6405,balance
6406,balance
6407,balance
6408,balance
6409,balance
6410,balance
6411,balance
6412,balance
6413,balance
6414,balance
6415,balance
6416,balance
6417,balance
6418,balance
6419,balance
6420,balance
6421,balance
6422,balance
6423,balance
6424,balance
6425,balance
6426,balance
6427,balance
6428,balance
6429,balance
6430,balance
6431,deficit
6432,deficit
6433,deficit
6434,deficit
6435,deficit
6436,deficit
6437,deficit
6438,deficit
6439,deficit
6440,deficit
6441,deficit
6442,deficit
6443,deficit
6444,balance
6445,balance
6446,surplus
6447,surplus
6448,surplus
6449,surplus
6450,surplus
6451,surplus
6452,balance
6453,surplus
6454,surplus
6455,deficit
6456,deficit
6457,deficit
6458,surplus
6459,deficit
6460,deficit
6461,deficit
6462,balance
6688,balance
6689,balance
6690,balance
