Tid,Supply-demand relationship
79,deficit
80,deficit
81,deficit
82,deficit
172,deficit
173,deficit
174,deficit
175,deficit
176,deficit
266,deficit
267,deficit
268,deficit
269,deficit
358,deficit
359,deficit
360,deficit
361,deficit
362,deficit
363,deficit
450,deficit
451,deficit
452,deficit
453,balance
454,balance
455,balance
456,balance
542,deficit
543,deficit
544,deficit
545,surplus
546,balance
547,balance
548,balance
549,balance
635,deficit
636,deficit
637,balance
638,balance
639,balance
640,balance
641,balance
642,balance
725,balance
726,balance
727,balance
728,deficit
729,surplus
730,balance
731,balance
732,balance
733,balance
734,surplus
735,balance
736,balance
762,balance
763,balance
816,balance
817,balance
818,balance
819,balance
820,balance
821,balance
822,balance
823,balance
824,balance
825,surplus
826,balance
827,surplus
828,balance
829,balance
855,balance
856,balance
857,balance
909,balance
910,balance
911,balance
912,balance
913,surplus
914,balance
915,balance
916,surplus
917,surplus
918,balance
919,balance
920,balance
921,balance
922,deficit
923,deficit
947,balance
948,balance
949,balance
950,balance
951,balance
952,balance
953,balance
954,balance
957,balance
958,balance
959,balance
960,balance
961,balance
998,balance
999,balance
1002,balance
1003,balance
1004,surplus
1005,balance
1006,surplus
1007,surplus
1008,balance
1009,balance
1010,surplus
1011,balance
1012,deficit
1013,deficit
1014,deficit
1015,deficit
1016,deficit
1039,balance
1040,balance
1041,balance
1042,balance
1043,balance
1044,balance
1045,balance
1046,balance
1047,balance
1048,balance
1049,balance
1050,balance
1051,balance
1052,balance
1053,balance
1054,balance
1055,balance
1056,balance
1090,balance
1091,balance
1092,balance
1093,balance
1094,balance
1095,balance
1096,balance
1097,balance
1098,balance
1099,balance
1100,balance
1101,surplus
1102,balance
1103,surplus
1104,deficit
1105,deficit
1106,deficit
1107,deficit
1108,deficit
1109,deficit
1131,balance
1132,balance
1133,balance
1134,balance
1135,balance
1136,balance
1137,balance
1138,balance
1139,balance
1140,balance
1141,balance
1142,balance
1143,balance
1144,balance
1145,balance
1146,balance
1147,balance
1148,balance
1149,surplus
1182,balance
1183,balance
1184,balance
1185,balance
1186,balance
1187,balance
1188,balance
1189,balance
1190,balance
1191,balance
1192,balance
1193,surplus
1194,balance
1195,balance
1196,balance
1197,deficit
1198,deficit
1199,deficit
1200,deficit
1201,deficit
1224,balance
1225,balance
1226,balance
1227,balance
1228,balance
1229,surplus
1230,balance
1231,balance
1232,surplus
1233,balance
1234,balance
1235,balance
1236,balance
1237,balance
1238,deficit
1239,deficit
1240,deficit
1241,deficit
1242,surplus
1243,deficit
1268,balance
1269,balance
1270,balance
1271,balance
1272,balance
1273,balance
1275,balance
1276,balance
1277,balance
1278,balance
1279,balance
1280,balance
1281,balance
1282,balance
1283,balance
1284,surplus
1285,balance
1286,balance
1287,deficit
1288,deficit
1289,surplus
1290,deficit
1291,deficit
1292,deficit
1293,deficit
1316,balance
1317,balance
1318,balance
1319,balance
1320,balance
1321,balance
1322,balance
1323,surplus
1324,balance
1325,balance
1326,balance
1327,balance
1328,balance
1329,balance
1330,deficit
1331,deficit
1332,deficit
1333,deficit
1334,deficit
1335,deficit
1336,deficit
1361,balance
1362,balance
1363,deficit
1364,balance
1365,balance
1366,balance
1367,balance
1368,balance
1369,balance
1370,balance
1371,balance
1372,balance
1373,balance
1374,balance
1375,balance
1376,balance
1377,balance
1378,balance
1379,balance
1380,deficit
1381,deficit
1382,deficit
1383,deficit
1384,deficit
1385,deficit
1408,balance
1409,balance
1410,balance
1411,balance
1412,balance
1413,balance
1414,balance
1415,balance
1416,balance
1417,balance
1418,balance
1419,balance
1420,balance
1421,balance
1422,surplus
1423,balance
1424,deficit
1425,balance
1426,balance
1427,deficit
1428,deficit
1429,deficit
1430,deficit
1431,deficit
1454,balance
1455,deficit
1456,deficit
1457,deficit
1458,deficit
1459,balance
1460,balance
1461,balance
1462,balance
1463,balance
1464,balance
1465,balance
1466,balance
1467,balance
1468,balance
1469,balance
1470,balance
1471,balance
1472,balance
1473,deficit
1474,deficit
1475,deficit
1476,deficit
1477,deficit
1478,deficit
1500,balance
1501,deficit
1502,balance
1503,balance
1504,balance
1505,balance
1506,surplus
1507,deficit
1508,deficit
1509,surplus
1510,balance
1511,balance
1512,balance
1513,balance
1514,balance
1515,deficit
1516,deficit
1517,deficit
1518,deficit
1519,deficit
1520,deficit
1521,balance
1522,deficit
1523,surplus
1524,deficit
1525,deficit
1546,balance
1547,balance
1548,deficit
1549,deficit
1550,deficit
1551,deficit
1552,deficit
1553,balance
1554,balance
1555,balance
1556,balance
1557,balance
1558,balance
1559,balance
1560,deficit
1561,deficit
1562,balance
1563,balance
1564,balance
1565,balance
1566,surplus
1567,deficit
1568,deficit
1569,surplus
1570,balance
1571,balance
1572,balance
1573,balance
1592,deficit
1593,deficit
1594,deficit
1595,deficit
1596,balance
1597,balance
1598,balance
1599,deficit
1600,deficit
1601,surplus
1602,deficit
1603,balance
1604,balance
1605,balance
1606,balance
1607,surplus
1608,surplus
1609,deficit
1610,deficit
1611,deficit
1612,deficit
1613,balance
1614,deficit
1615,deficit
1616,deficit
1617,deficit
1618,deficit
1619,deficit
1620,deficit
1639,balance
1640,deficit
1641,deficit
1642,deficit
1643,deficit
1644,deficit
1645,deficit
1646,balance
1647,balance
1648,balance
1649,balance
1650,balance
1651,balance
1652,deficit
1653,deficit
1654,deficit
1655,deficit
1656,balance
1657,balance
1658,surplus
1659,surplus
1660,balance
1661,surplus
1662,surplus
1663,balance
1664,balance
1665,balance
1666,balance
1667,balance
1684,balance
1685,deficit
1686,deficit
1687,deficit
1688,deficit
1689,balance
1690,balance
1691,surplus
1692,deficit
1693,surplus
1694,deficit
1695,deficit
1696,balance
1697,surplus
1698,surplus
1699,deficit
1700,deficit
1701,deficit
1702,deficit
1703,deficit
1704,deficit
1705,deficit
1706,deficit
1707,deficit
1708,deficit
1709,deficit
1710,surplus
1711,balance
1712,balance
1713,deficit
1731,balance
1732,balance
1733,deficit
1734,deficit
1735,deficit
1736,deficit
1737,deficit
1738,deficit
1739,deficit
1740,balance
1741,balance
1742,balance
1743,balance
1744,balance
1745,deficit
1746,deficit
1747,deficit
1748,deficit
1749,deficit
1750,deficit
1751,surplus
1752,deficit
1753,deficit
1754,balance
1755,surplus
1756,surplus
1757,balance
1758,balance
1759,balance
1760,balance
1776,balance
1777,balance
1778,deficit
1779,deficit
1780,deficit
1781,balance
1782,surplus
1783,balance
1784,deficit
1785,surplus
1786,deficit
1787,surplus
1788,balance
1789,surplus
1790,deficit
1791,deficit
1792,surplus
1793,balance
1794,balance
1795,deficit
1796,deficit
1797,deficit
1798,deficit
1799,deficit
1800,deficit
1801,deficit
1802,surplus
1803,deficit
1804,balance
1805,deficit
1806,deficit
1821,balance
1822,balance
1823,balance
1824,balance
1825,balance
1826,deficit
1827,deficit
1828,deficit
1829,deficit
1830,deficit
1831,deficit
1832,deficit
1833,balance
1834,balance
1835,balance
1836,surplus
1837,deficit
1838,deficit
1839,deficit
1840,deficit
1841,deficit
1842,deficit
1843,surplus
1844,deficit
1845,deficit
1846,surplus
1847,balance
1848,surplus
1849,balance
1850,balance
1851,balance
1852,balance
1853,deficit
1854,deficit
1855,balance
1868,balance
1869,balance
1870,balance
1871,deficit
1872,deficit
1873,balance
1874,surplus
1875,balance
1876,balance
1877,deficit
1878,deficit
1879,deficit
1880,deficit
1881,balance
1882,deficit
1883,deficit
1884,surplus
1885,deficit
1886,surplus
1887,deficit
1888,surplus
1889,deficit
1890,deficit
1891,deficit
1892,surplus
1893,deficit
1894,surplus
1895,deficit
1896,deficit
1897,deficit
1898,deficit
1899,deficit
1913,balance
1914,balance
1915,balance
1916,balance
1917,surplus
1918,balance
1919,balance
1920,deficit
1921,deficit
1922,deficit
1923,deficit
1924,deficit
1925,deficit
1926,balance
1927,balance
1928,balance
1929,balance
1930,deficit
1931,deficit
1932,deficit
1933,deficit
1934,deficit
1935,deficit
1936,deficit
1937,deficit
1938,deficit
1939,surplus
1940,surplus
1941,surplus
1942,surplus
1943,surplus
1944,surplus
1945,balance
1946,deficit
1947,deficit
1948,deficit
1949,balance
1960,balance
1961,balance
1962,balance
1963,balance
1964,balance
1965,balance
1966,balance
1967,balance
1968,balance
1969,balance
1970,surplus
1971,surplus
1972,balance
1973,deficit
1974,balance
1975,balance
1976,surplus
1977,deficit
1978,deficit
1979,deficit
1980,deficit
1981,deficit
1982,deficit
1983,deficit
1984,deficit
1985,deficit
1986,deficit
1987,deficit
1988,deficit
1989,deficit
1990,deficit
1991,deficit
1992,deficit
2001,balance
2002,balance
2003,balance
2005,balance
2006,balance
2007,balance
2008,balance
2009,surplus
2010,balance
2011,balance
2012,balance
2013,balance
2014,deficit
2015,deficit
2016,deficit
2017,deficit
2018,balance
2019,balance
2020,balance
2021,balance
2022,balance
2023,balance
2024,deficit
2025,surplus
2026,deficit
2027,deficit
2028,deficit
2029,deficit
2030,deficit
2031,deficit
2032,deficit
2033,deficit
2034,deficit
2035,balance
2036,balance
2037,balance
2038,balance
2039,surplus
2040,deficit
2041,deficit
2042,deficit
2053,balance
2054,balance
2055,balance
2056,balance
2057,balance
2058,balance
2059,balance
2060,balance
2061,balance
2062,balance
2063,deficit
2064,deficit
2065,surplus
2066,deficit
2067,deficit
2068,surplus
2069,surplus
2070,surplus
2071,deficit
2072,deficit
2073,deficit
2074,deficit
2075,deficit
2076,deficit
2077,deficit
2078,deficit
2079,deficit
2080,deficit
2081,deficit
2082,deficit
2083,deficit
2084,deficit
2085,deficit
2086,deficit
2087,deficit
2088,balance
2089,balance
2093,balance
2094,balance
2095,deficit
2096,deficit
2097,deficit
2098,deficit
2099,deficit
2100,balance
2101,balance
2102,surplus
2103,balance
2104,balance
2105,balance
2106,balance
2107,balance
2108,balance
2109,balance
2110,balance
2111,balance
2112,balance
2113,balance
2114,balance
2115,balance
2116,balance
2117,balance
2118,balance
2119,balance
2120,deficit
2121,deficit
2122,deficit
2123,deficit
2124,deficit
2125,surplus
2126,deficit
2127,surplus
2128,balance
2129,balance
2130,surplus
2131,balance
2132,deficit
2133,deficit
2134,deficit
2135,deficit
2145,balance
2146,balance
2147,balance
2148,balance
2149,balance
2150,balance
2151,surplus
2152,balance
2153,balance
2154,balance
2155,balance
2156,balance
2157,deficit
2158,deficit
2159,deficit
2160,deficit
2161,deficit
2162,deficit
2163,deficit
2164,deficit
2165,deficit
2166,deficit
2167,surplus
2168,deficit
2169,deficit
2170,deficit
2171,deficit
2172,deficit
2173,deficit
2174,deficit
2175,deficit
2176,deficit
2177,deficit
2178,deficit
2179,deficit
2180,deficit
2181,balance
2182,balance
2183,balance
2185,balance
2186,balance
2187,deficit
2188,deficit
2189,deficit
2190,deficit
2191,deficit
2192,deficit
2193,balance
2194,balance
2195,balance
2196,surplus
2197,balance
2198,balance
2199,balance
2200,balance
2201,balance
2202,balance
2203,balance
2204,balance
2205,balance
2206,balance
2207,balance
2208,balance
2209,balance
2210,balance
2211,balance
2212,balance
2213,balance
2214,deficit
2215,deficit
2216,surplus
2217,deficit
2218,deficit
2219,surplus
2220,surplus
2221,balance
2222,balance
2223,balance
2224,balance
2225,balance
2226,deficit
2227,deficit
2228,balance
2238,balance
2239,balance
2240,balance
2241,balance
2242,balance
2243,balance
2244,balance
2245,balance
2246,balance
2247,balance
2248,balance
2249,balance
2250,surplus
2251,deficit
2252,deficit
2253,deficit
2254,deficit
2255,deficit
2256,deficit
2257,surplus
2258,deficit
2259,deficit
2260,deficit
2261,deficit
2262,deficit
2263,deficit
2264,deficit
2265,deficit
2266,deficit
2267,deficit
2268,deficit
2269,deficit
2270,deficit
2271,surplus
2272,deficit
2273,balance
2274,balance
2275,balance
2276,balance
2277,balance
2278,balance
2279,balance
2280,deficit
2281,deficit
2282,deficit
2283,deficit
2284,deficit
2285,deficit
2286,balance
2287,balance
2288,balance
2289,balance
2290,balance
2291,balance
2292,balance
2293,balance
2294,balance
2295,balance
2296,balance
2297,balance
2298,deficit
2299,deficit
2300,balance
2301,balance
2302,balance
2303,balance
2304,balance
2305,balance
2306,balance
2307,surplus
2308,deficit
2309,surplus
2310,surplus
2311,surplus
2312,surplus
2313,deficit
2314,balance
2315,balance
2316,balance
2317,balance
2318,balance
2319,balance
2320,balance
2321,balance
2331,balance
2332,balance
2333,balance
2334,balance
2335,balance
2336,balance
2337,balance
2338,balance
2339,balance
2340,balance
2341,surplus
2342,deficit
2343,deficit
2344,deficit
2345,deficit
2346,balance
2347,deficit
2348,deficit
2349,deficit
2350,deficit
2351,deficit
2352,deficit
2353,deficit
2354,deficit
2355,deficit
2356,deficit
2357,deficit
2358,deficit
2359,deficit
2360,deficit
2361,deficit
2362,deficit
2363,deficit
2364,deficit
2365,surplus
2366,balance
2367,balance
2368,balance
