Tid,Supply-demand relationship
18,balance
19,balance
20,balance
21,balance
143,balance
144,surplus
145,balance
146,balance
147,balance
148,balance
268,balance
269,balance
270,balance
271,balance
272,balance
273,balance
377,balance
378,balance
379,balance
393,balance
394,balance
395,balance
396,balance
397,balance
398,balance
399,balance
470,deficit
471,deficit
474,balance
501,balance
502,balance
503,balance
504,balance
505,balance
518,balance
519,balance
520,balance
521,balance
522,balance
523,balance
524,balance
525,balance
594,deficit
595,deficit
596,deficit
597,deficit
598,deficit
599,balance
600,balance
626,balance
627,balance
628,balance
629,balance
630,balance
645,balance
646,balance
647,balance
648,balance
649,balance
650,balance
651,balance
717,balance
718,balance
719,deficit
720,deficit
721,deficit
722,deficit
723,balance
724,balance
725,balance
726,balance
751,balance
752,balance
753,balance
754,balance
755,balance
756,balance
770,balance
771,balance
772,balance
773,balance
774,balance
775,balance
787,balance
788,balance
790,balance
791,balance
792,balance
793,balance
794,balance
795,balance
796,balance
840,balance
841,balance
842,balance
843,balance
844,balance
845,deficit
846,deficit
847,balance
848,balance
849,balance
850,balance
851,balance
852,balance
876,balance
877,balance
878,balance
879,balance
880,balance
881,balance
882,balance
884,balance
885,balance
894,balance
895,balance
896,balance
897,balance
898,balance
899,balance
900,balance
901,balance
902,balance
912,balance
913,balance
914,balance
915,balance
916,balance
917,balance
918,balance
919,balance
920,balance
921,balance
922,balance
962,balance
963,balance
964,balance
965,balance
966,balance
967,balance
968,balance
969,balance
970,balance
971,balance
972,balance
973,balance
974,balance
975,balance
976,balance
977,balance
978,balance
1001,balance
1002,balance
1003,balance
1004,balance
1005,balance
1006,balance
1007,balance
1008,balance
1009,balance
1010,balance
1011,balance
1018,balance
1019,balance
1020,balance
1021,balance
1022,balance
1023,balance
1024,balance
1025,balance
1026,balance
1027,balance
1028,balance
1029,balance
1030,balance
1031,balance
1034,balance
1035,balance
1037,balance
1038,balance
1039,balance
1040,balance
1041,balance
1042,balance
1043,balance
1044,balance
1045,balance
1046,balance
1047,balance
1048,balance
1087,balance
1088,balance
1089,balance
1090,balance
1091,balance
1092,balance
1093,balance
1094,balance
1095,balance
1096,balance
1097,balance
1098,balance
1099,balance
1100,balance
1101,balance
1102,balance
1103,balance
1125,balance
1126,balance
1127,balance
1128,balance
1129,balance
1130,balance
1131,balance
1132,balance
1133,balance
1134,balance
1135,balance
1136,balance
1137,balance
1142,balance
1143,balance
1144,balance
1145,balance
1146,balance
1147,balance
1148,balance
1149,balance
1150,balance
1151,balance
1152,balance
1153,balance
1154,balance
1155,balance
1156,balance
1158,balance
1159,balance
1160,balance
1162,balance
1163,balance
1164,balance
1165,balance
1166,balance
1167,balance
1168,balance
1169,balance
1170,balance
1171,balance
1172,balance
1173,balance
1174,balance
1175,balance
1176,balance
1211,balance
1212,balance
1213,balance
1214,balance
1215,balance
1216,balance
1217,balance
1218,balance
1219,balance
1220,balance
1221,balance
1222,balance
1223,balance
1224,balance
1225,balance
1226,balance
1227,balance
1228,balance
1229,deficit
1250,balance
1251,balance
1252,balance
1253,balance
1254,balance
1255,balance
1256,balance
1257,balance
1258,balance
1259,balance
1260,balance
1261,balance
1262,balance
1263,balance
1264,balance
1265,balance
1266,balance
1267,balance
1268,balance
1269,balance
1270,balance
1271,balance
1272,balance
1273,balance
1274,balance
1275,balance
1276,balance
1277,balance
1278,balance
1279,balance
1280,balance
1281,balance
1282,balance
1283,balance
1284,balance
1285,balance
1286,balance
1287,balance
1288,balance
1289,balance
1290,balance
1291,balance
1292,balance
1293,balance
1294,balance
1295,balance
1296,balance
1297,balance
1298,balance
1299,balance
1300,balance
1301,balance
1302,balance
1336,balance
1337,balance
1338,balance
1339,balance
1340,balance
1341,balance
1342,balance
1343,balance
1344,balance
1345,balance
1346,balance
1347,balance
1348,balance
1349,balance
1350,balance
1351,balance
1352,balance
1353,balance
1354,deficit
1355,deficit
1358,deficit
1359,deficit
1360,deficit
1375,balance
1376,balance
1377,balance
1378,balance
1379,balance
1380,balance
1381,balance
1382,balance
1383,balance
1384,balance
1385,balance
1386,balance
1387,balance
1388,balance
1389,balance
1390,balance
1391,balance
1392,balance
1393,balance
1394,balance
1395,balance
1396,balance
1397,balance
1398,balance
1399,balance
1400,balance
1401,balance
1402,balance
1403,balance
1404,balance
1405,balance
1406,balance
1407,balance
1408,balance
1409,balance
1410,balance
1411,balance
1412,balance
1413,balance
1414,balance
1415,balance
1416,balance
1417,balance
1418,balance
1419,balance
1420,balance
1421,balance
1422,balance
1423,balance
1424,balance
1425,balance
1426,balance
1427,balance
1461,balance
1462,balance
1463,balance
1464,balance
1465,balance
1466,balance
1467,balance
1468,balance
1469,balance
1470,balance
1471,balance
1472,balance
1473,balance
1474,balance
1475,balance
1476,balance
1477,balance
1478,balance
1479,deficit
1480,deficit
1483,deficit
1484,deficit
1485,deficit
1486,deficit
1487,balance
1488,balance
1489,deficit
1490,deficit
1500,balance
1501,balance
1502,balance
1503,balance
1504,balance
1505,balance
1506,balance
1507,surplus
1508,balance
1509,balance
1510,balance
1511,balance
1512,balance
1513,balance
1514,balance
1515,balance
1516,balance
1517,balance
1518,balance
1519,balance
1520,balance
1521,balance
1522,balance
1523,balance
1524,balance
1525,balance
1526,balance
1527,balance
1528,balance
1529,balance
1530,balance
1531,balance
1532,balance
1533,balance
1534,balance
1535,balance
1536,balance
1537,balance
1538,balance
1539,balance
1540,balance
1541,balance
1542,balance
1543,balance
1544,balance
1545,balance
1546,balance
1547,balance
1548,balance
1549,balance
1550,balance
1551,balance
1552,balance
1586,balance
1587,balance
1588,balance
1589,balance
1590,balance
1591,balance
1592,balance
1593,balance
1594,balance
1595,balance
1596,balance
1597,balance
1598,balance
1599,balance
1600,balance
1601,balance
1602,balance
1603,balance
1604,deficit
1605,deficit
1606,deficit
1607,deficit
1608,balance
