Tid,Supply-demand relationship
84,balance
85,balance
86,balance
221,balance
222,balance
223,balance
224,balance
225,balance
359,balance
360,balance
361,balance
362,balance
363,balance
364,balance
368,balance
496,balance
497,balance
498,balance
499,balance
500,balance
501,balance
502,balance
503,balance
504,balance
505,balance
506,balance
630,balance
631,balance
632,balance
633,balance
634,balance
635,balance
636,balance
637,balance
638,balance
639,balance
640,balance
641,balance
642,balance
643,balance
644,balance
765,balance
766,balance
767,balance
768,balance
769,balance
770,balance
771,balance
772,balance
773,balance
774,balance
775,balance
776,balance
777,balance
778,balance
779,balance
780,balance
781,balance
782,balance
902,balance
903,balance
904,balance
905,balance
906,balance
907,balance
908,balance
909,balance
910,balance
911,balance
912,balance
913,balance
914,balance
915,balance
916,balance
917,balance
918,balance
919,balance
920,balance
1040,balance
1041,balance
1042,balance
1043,balance
1044,balance
1045,balance
1046,balance
1047,balance
1048,balance
1049,balance
1050,balance
1051,balance
1052,balance
1053,balance
1054,balance
1055,balance
1056,balance
1057,balance
1177,balance
1178,balance
1179,surplus
1180,balance
1181,balance
1182,balance
1183,balance
1184,balance
1185,balance
1186,surplus
1187,balance
1188,balance
1189,balance
1190,balance
1191,balance
1192,balance
1193,balance
1194,balance
1195,balance
1315,balance
1316,balance
1317,balance
1318,balance
1319,balance
1320,balance
1321,balance
1322,balance
1323,balance
1324,balance
1325,balance
1326,balance
1327,balance
1328,balance
1329,balance
1330,balance
1331,balance
1332,balance
1333,balance
1452,balance
1453,balance
1454,balance
1455,balance
1456,balance
1457,balance
1458,balance
1459,balance
1460,surplus
1461,surplus
1462,balance
1463,balance
1464,balance
1465,balance
1466,balance
1467,balance
1468,balance
1469,surplus
1470,balance
1471,balance
1589,balance
1590,balance
1591,balance
1592,balance
1593,balance
1594,balance
1595,balance
1596,balance
1597,balance
1598,balance
1599,balance
1600,balance
1601,balance
1602,balance
1603,balance
1604,balance
1605,balance
1606,balance
1607,balance
1608,balance
1727,balance
1728,balance
1729,balance
1730,balance
1731,balance
1732,balance
1733,balance
1734,surplus
1735,balance
1736,balance
1737,balance
1738,balance
1739,balance
1740,balance
1741,balance
1742,balance
1743,balance
1744,balance
1745,balance
1746,balance
1865,balance
1866,balance
1867,balance
1868,balance
1869,balance
1870,balance
1871,balance
1872,balance
1873,balance
1874,balance
1875,balance
1876,balance
1877,balance
1878,balance
1879,balance
1880,balance
1881,balance
1882,balance
1883,balance
2002,balance
2003,balance
2004,balance
2005,surplus
2006,balance
2007,balance
2008,balance
2009,balance
2010,balance
2011,balance
2012,balance
2013,balance
2014,balance
2015,balance
2016,balance
2017,balance
2018,balance
2019,balance
2020,balance
2021,balance
2138,balance
2139,balance
2140,balance
2141,balance
2142,balance
2143,balance
2144,balance
2145,surplus
2146,balance
2147,balance
2148,balance
2149,balance
2150,balance
2151,balance
2152,balance
2153,balance
2154,balance
2155,balance
2156,balance
2157,balance
2158,balance
2275,balance
2276,balance
2277,balance
2278,balance
2279,balance
2280,balance
2281,balance
2282,surplus
2283,balance
2284,balance
2285,balance
2286,balance
2287,balance
2288,balance
2289,balance
2290,balance
2291,balance
2292,balance
2293,balance
2294,surplus
2295,balance
2296,balance
2412,balance
2413,balance
2414,balance
2415,balance
2416,balance
2417,balance
2418,surplus
2419,surplus
2420,balance
2421,balance
2422,balance
2423,balance
2424,balance
2425,balance
2426,balance
2427,balance
2428,balance
2429,balance
2430,balance
2431,balance
2432,balance
2433,balance
2434,balance
2435,balance
2548,balance
2549,balance
2550,balance
2551,balance
2552,balance
2553,surplus
2554,balance
2555,balance
2556,surplus
2557,balance
2558,surplus
2559,surplus
2560,balance
2561,balance
2562,balance
2563,balance
2564,balance
2565,balance
2566,balance
2567,balance
2568,balance
2569,balance
2570,balance
2571,balance
2572,balance
2573,balance
2685,balance
2686,balance
2687,balance
2688,balance
2689,surplus
2690,balance
2691,balance
2692,balance
2693,surplus
2694,balance
2695,balance
2696,balance
2697,balance
2698,balance
2699,balance
2700,balance
2701,balance
2702,balance
2703,balance
2704,balance
2705,balance
2706,balance
2707,balance
2708,balance
2709,balance
2710,balance
2711,balance
2823,balance
2824,balance
2825,balance
2826,balance
2827,balance
2828,balance
2829,balance
2830,balance
2831,balance
2832,balance
2833,balance
2834,balance
2835,balance
2836,balance
2837,balance
2838,balance
2839,balance
2840,balance
2841,balance
2842,balance
2843,balance
2844,balance
2845,balance
2846,balance
2847,balance
2848,balance
2849,balance
2959,balance
2960,balance
2961,balance
2962,balance
2963,surplus
2964,surplus
2965,balance
2966,balance
2967,balance
2968,balance
2969,balance
2970,balance
2971,balance
2972,balance
2973,balance
2974,balance
2975,balance
2976,balance
2977,balance
2978,balance
2979,balance
2980,balance
2981,balance
2982,balance
2983,balance
2984,balance
2985,balance
2986,balance
2987,balance
3092,balance
3093,balance
3094,balance
3095,balance
3096,balance
3097,balance
3098,balance
3099,balance
3100,balance
3101,balance
3102,balance
3103,balance
3104,balance
3105,balance
3106,balance
3107,balance
3108,balance
3109,balance
3110,balance
3111,balance
3112,surplus
3113,balance
3114,balance
3115,balance
3116,balance
3117,balance
3118,balance
3119,balance
3120,balance
3121,balance
3122,balance
3123,balance
3124,balance
3228,balance
3229,balance
3230,balance
3231,balance
3232,balance
3233,balance
3234,balance
3235,balance
3236,balance
3237,balance
3238,balance
3239,balance
3240,balance
3241,balance
3242,balance
3243,balance
3244,balance
3245,balance
3246,balance
3247,balance
3248,balance
3249,balance
3250,surplus
3251,surplus
3252,balance
3253,balance
3254,balance
3255,balance
3256,balance
3257,balance
3258,balance
3259,balance
3260,balance
3261,balance
3365,balance
3366,balance
3367,balance
3368,surplus
3369,balance
3370,balance
3371,balance
3372,balance
3373,balance
3374,balance
3375,balance
3376,balance
3377,balance
3378,balance
3379,balance
3380,balance
3381,balance
3382,balance
3383,balance
3384,balance
3385,balance
3386,balance
3387,balance
3388,balance
3389,balance
3390,balance
3391,balance
3392,surplus
3393,balance
3394,balance
3395,balance
3396,balance
3397,balance
3398,balance
3501,balance
