Tid,Supply-demand relationship
35,balance
36,balance
44,balance
45,balance
46,balance
47,balance
334,balance
335,balance
336,balance
337,balance
338,balance
339,balance
340,balance
341,balance
342,balance
343,balance
344,balance
345,balance
346,balance
347,balance
633,balance
634,balance
635,balance
636,balance
637,balance
638,balance
639,balance
640,balance
641,balance
642,balance
643,balance
644,balance
645,balance
646,balance
647,balance
680,balance
681,balance
701,balance
702,balance
703,balance
932,balance
933,balance
934,balance
935,balance
936,balance
937,balance
938,balance
939,balance
940,balance
941,balance
942,balance
943,balance
944,balance
945,balance
946,balance
947,balance
948,balance
977,balance
978,balance
979,balance
980,balance
981,balance
982,balance
983,balance
999,balance
1000,balance
1001,balance
1002,balance
1003,balance
1229,balance
1230,balance
1231,balance
1232,balance
1233,balance
1234,balance
1235,balance
1236,balance
1237,balance
1238,balance
1239,balance
1240,balance
1241,balance
1242,balance
1243,balance
1244,balance
1245,balance
1246,balance
1247,balance
1248,balance
1276,balance
1277,balance
1278,balance
1279,balance
1280,balance
1281,balance
1282,balance
1283,balance
1284,balance
1285,balance
1286,balance
1287,balance
1293,balance
1294,balance
1295,balance
1296,balance
1297,balance
1298,balance
1299,balance
1300,balance
1301,balance
1302,balance
1303,balance
1304,balance
1528,balance
1529,balance
1530,balance
1531,balance
1532,balance
1533,balance
1534,balance
1535,balance
1536,balance
1537,balance
1538,balance
1539,balance
1540,balance
1541,balance
1542,balance
1543,balance
1544,balance
1545,balance
1546,balance
1547,balance
1575,balance
1576,balance
1577,balance
1578,balance
1579,balance
1580,balance
1581,balance
1582,balance
1583,balance
1584,balance
1585,balance
1586,balance
1587,balance
1588,balance
1589,balance
1590,balance
1591,balance
1592,balance
1593,balance
1594,balance
1595,balance
1596,balance
1597,balance
1598,balance
1599,balance
1600,balance
1601,balance
1602,balance
1603,balance
1826,balance
1827,balance
1828,balance
1829,balance
1830,balance
1831,balance
1832,balance
1833,balance
1834,balance
1835,balance
1836,balance
1837,balance
1838,balance
1839,balance
1840,balance
1841,balance
1842,balance
1843,balance
1844,balance
1845,balance
1846,balance
1874,balance
1875,balance
1876,balance
1877,balance
1878,balance
1879,balance
1880,balance
1881,balance
1882,balance
1883,balance
1884,balance
1885,balance
1886,balance
1887,balance
1888,balance
1889,balance
1890,balance
1891,balance
1892,balance
1893,balance
1894,balance
1895,balance
1896,balance
1897,balance
1898,balance
1899,balance
1900,balance
1901,balance
1902,balance
2126,balance
2127,balance
2128,balance
2129,balance
2130,balance
2131,balance
2132,balance
2133,balance
2134,balance
2135,balance
2136,balance
2137,balance
2138,balance
2139,balance
2140,balance
2141,balance
2142,balance
2143,balance
2144,balance
2145,balance
2173,balance
2174,balance
2175,balance
2176,balance
2177,balance
2178,balance
2179,balance
2180,balance
