Tid,Supply-demand relationship
270,balance
271,balance
272,balance
273,balance
274,balance
275,balance
276,balance
277,balance
278,balance
279,balance
829,balance
830,balance
831,balance
832,balance
833,balance
839,balance
840,balance
841,balance
842,balance
843,balance
844,balance
845,balance
846,balance
847,balance
848,balance
849,balance
850,balance
851,balance
1397,balance
1398,balance
1399,balance
1400,balance
1401,balance
1402,balance
1403,balance
1404,balance
1405,balance
1406,balance
1407,balance
1408,balance
1409,balance
1410,balance
1411,balance
1412,balance
1413,balance
1414,balance
1415,balance
1416,balance
1417,balance
1418,balance
1419,balance
1420,balance
1421,balance
1422,balance
1423,balance
1966,balance
1967,balance
1968,balance
1969,balance
1970,balance
1971,balance
1972,balance
1973,balance
1974,balance
1975,balance
1976,balance
1977,balance
1978,balance
1979,balance
1980,balance
1981,balance
1982,balance
1983,balance
1984,balance
1985,balance
1986,balance
1987,balance
1988,balance
1989,balance
1990,balance
1991,balance
1992,balance
1993,balance
1994,balance
1995,balance
1996,balance
2534,balance
2535,balance
2536,balance
2537,balance
2538,balance
2539,balance
2540,balance
2541,balance
2542,balance
2543,balance
2544,balance
2545,balance
2546,balance
2547,balance
2548,balance
2549,balance
2550,balance
2551,balance
2552,balance
2553,balance
2554,balance
2555,balance
2556,balance
2557,balance
2558,balance
2559,balance
2560,balance
2561,balance
2562,balance
2563,balance
2564,balance
2565,balance
2566,balance
2567,balance
2568,balance
2569,balance
3105,balance
3106,balance
3107,balance
3108,balance
3109,balance
3110,balance
3111,balance
3112,balance
3113,balance
3114,balance
3115,balance
3116,balance
3117,balance
3118,balance
3119,balance
3120,balance
3121,balance
3122,balance
3123,balance
3124,balance
3125,balance
3126,balance
3127,balance
3128,balance
3129,balance
3130,balance
3131,balance
3132,balance
3133,balance
3134,balance
3135,balance
3136,balance
3137,balance
3138,balance
3139,balance
3140,balance
3141,balance
3142,balance
3143,balance
3144,balance
3145,balance
3675,balance
3676,balance
3677,balance
3678,balance
3679,balance
3680,balance
3681,balance
3682,balance
3683,balance
3684,balance
3685,balance
3686,balance
3687,balance
3688,balance
3689,balance
3690,balance
3691,balance
3692,balance
3693,balance
3694,balance
3695,balance
3696,balance
3697,balance
3698,balance
3699,balance
3700,balance
3701,balance
3702,balance
3703,balance
3704,balance
3705,balance
3706,balance
3707,balance
3708,balance
3709,balance
3710,balance
3711,balance
3712,balance
3713,balance
3714,balance
3715,balance
3716,balance
3717,balance
4245,balance
4246,balance
4247,balance
4248,balance
4249,balance
4250,balance
4251,balance
4252,balance
4253,balance
4254,balance
4255,balance
4256,balance
4257,balance
4258,balance
4259,balance
4260,balance
4261,balance
4262,balance
4263,balance
4264,balance
4265,balance
4266,balance
4267,balance
4268,balance
4269,balance
4270,balance
4271,balance
4272,balance
4273,balance
4274,balance
4275,balance
4276,balance
4277,balance
4278,balance
4279,balance
4280,balance
4281,balance
4282,balance
4283,balance
4284,balance
4285,balance
4286,balance
4287,balance
4288,balance
4289,balance
4815,balance
4816,balance
4817,balance
