Tid,Supply-demand relationship
191,balance
192,balance
193,balance
194,balance
195,balance
214,balance
215,balance
411,balance
412,balance
413,balance
414,balance
415,balance
433,balance
434,balance
435,balance
631,balance
632,balance
633,balance
634,balance
635,balance
636,balance
637,balance
638,balance
639,balance
640,deficit
641,deficit
642,deficit
643,balance
644,balance
645,balance
646,balance
652,balance
653,balance
654,balance
655,balance
851,balance
852,balance
853,balance
854,balance
855,balance
856,balance
857,balance
858,balance
859,balance
860,deficit
861,deficit
862,deficit
863,deficit
864,deficit
865,deficit
866,balance
867,balance
868,balance
869,balance
870,balance
871,balance
872,balance
873,balance
874,balance
875,balance
876,balance
889,balance
890,balance
1068,balance
1070,balance
1071,balance
1072,deficit
1073,deficit
1074,deficit
1075,balance
1076,balance
1077,balance
1078,balance
1079,deficit
1080,deficit
1081,deficit
1082,deficit
1083,deficit
1084,deficit
1085,deficit
1086,deficit
1087,deficit
1088,balance
1089,balance
1090,balance
1091,balance
1092,balance
1093,balance
1094,balance
1095,balance
1107,balance
1108,balance
1109,balance
1110,balance
1287,balance
1288,balance
1289,balance
1290,balance
1291,deficit
1292,deficit
1293,deficit
1294,deficit
1295,balance
1296,balance
1297,balance
1298,balance
1299,balance
1300,deficit
1301,deficit
1302,deficit
1303,deficit
1304,deficit
1305,deficit
1306,deficit
1307,deficit
1308,deficit
1309,balance
1310,balance
1311,balance
1312,balance
1313,balance
1314,balance
1315,balance
1325,balance
1326,balance
1327,balance
1328,balance
1329,balance
1330,balance
1346,balance
1347,balance
1348,balance
1504,balance
1505,balance
1506,balance
1507,balance
1508,balance
1509,deficit
1510,deficit
1511,deficit
1512,deficit
1513,deficit
1514,balance
1515,balance
1516,balance
1517,balance
1518,balance
1519,balance
1520,deficit
1521,deficit
1522,deficit
1523,deficit
1524,deficit
1525,deficit
1526,deficit
1527,deficit
1528,deficit
1529,deficit
1530,balance
1531,balance
1532,balance
1533,balance
1534,balance
1535,balance
1544,balance
1545,balance
1546,balance
1547,balance
1548,balance
1549,balance
1550,balance
1551,balance
1552,balance
1565,balance
1566,balance
1567,balance
1568,balance
1717,balance
1718,balance
1719,balance
1720,balance
1721,balance
1722,balance
1723,balance
1724,balance
1725,balance
1726,balance
1727,balance
1728,deficit
1729,deficit
1730,deficit
1731,deficit
1732,deficit
1733,deficit
1734,balance
1735,balance
1736,balance
1737,balance
1738,balance
1739,balance
1740,deficit
1741,deficit
1742,deficit
1743,deficit
1744,deficit
1745,deficit
1746,deficit
1747,deficit
1748,balance
1749,deficit
1750,balance
1751,balance
1752,balance
1753,balance
1754,balance
1765,balance
1766,balance
1767,balance
1768,balance
1769,balance
1770,balance
1771,balance
1772,balance
1773,balance
1774,balance
1786,balance
1787,balance
1788,balance
1789,balance
1790,balance
1791,balance
1936,balance
1937,balance
1938,balance
1939,balance
1940,balance
1941,balance
1942,balance
1943,balance
1944,balance
1945,balance
1946,balance
1947,balance
1948,deficit
1949,deficit
1950,deficit
1951,deficit
1952,deficit
1953,deficit
1954,balance
1955,balance
1956,balance
1957,balance
1958,balance
1959,surplus
1960,deficit
1961,deficit
1962,surplus
1963,deficit
1964,surplus
1965,balance
1966,balance
1967,balance
1968,balance
1969,balance
1970,balance
1971,balance
1972,balance
1973,balance
1974,balance
1975,balance
1984,balance
1985,balance
1986,balance
1987,balance
1988,balance
1989,balance
1990,balance
1991,balance
1992,balance
1993,balance
1994,balance
1995,balance
2002,balance
2003,balance
2004,balance
2005,balance
2006,balance
2007,balance
2008,balance
2009,balance
2010,balance
2011,balance
2012,balance
2013,balance
2153,balance
2154,balance
2155,balance
2156,balance
2157,balance
2158,balance
2159,balance
2160,balance
2161,balance
2162,balance
2163,balance
2164,balance
2165,balance
2166,balance
2167,balance
2168,deficit
2169,deficit
2170,deficit
2171,deficit
2172,deficit
2173,deficit
2174,deficit
2175,balance
2176,deficit
2177,deficit
2178,surplus
2179,deficit
2180,deficit
2181,deficit
2182,deficit
2183,deficit
2184,deficit
2185,balance
2186,balance
2187,balance
2188,balance
2189,balance
2190,balance
2191,balance
2192,balance
2193,balance
2194,balance
2195,balance
2204,balance
2205,balance
2206,balance
2207,balance
2208,balance
2209,balance
2210,balance
2211,balance
2212,balance
2213,balance
2214,balance
2215,balance
2216,balance
2222,balance
2223,balance
2224,balance
2225,balance
2226,balance
2227,balance
2228,balance
2229,balance
2230,balance
2231,balance
2232,balance
2233,balance
2234,balance
2235,balance
2236,balance
2237,balance
2238,balance
2239,balance
2368,balance
2369,balance
2370,balance
2371,balance
2372,balance
2373,balance
2374,balance
2375,balance
2376,balance
2377,balance
2378,balance
2379,balance
2380,balance
2381,balance
2382,balance
2383,balance
2384,balance
2385,balance
2386,balance
2387,balance
2388,balance
2389,deficit
2390,deficit
2391,deficit
2392,deficit
2393,deficit
2394,deficit
2395,deficit
2396,deficit
2397,surplus
2398,deficit
2399,deficit
2400,deficit
2401,deficit
2402,deficit
2403,deficit
2404,balance
2405,balance
2406,balance
2407,balance
2408,balance
2409,balance
2410,balance
2411,balance
2412,balance
2413,balance
2414,balance
2415,balance
2424,balance
2425,balance
2426,balance
2427,balance
2428,balance
2429,balance
2430,balance
2431,balance
2432,balance
2433,balance
2434,balance
2435,balance
2436,balance
2437,balance
2441,balance
2442,balance
2443,balance
2444,balance
2445,balance
2446,balance
2447,balance
2448,balance
2449,balance
2450,balance
2451,balance
2452,balance
2453,balance
2454,balance
2455,balance
2456,balance
2457,balance
2458,balance
2459,balance
2460,balance
2586,balance
2587,balance
2588,balance
2589,balance
2590,balance
2591,balance
2592,balance
2593,balance
2594,balance
2595,balance
2596,balance
2597,balance
2598,balance
2599,balance
2600,balance
2601,balance
2602,balance
2603,balance
2604,balance
2605,balance
2606,balance
2607,balance
2608,balance
2609,deficit
2610,deficit
2611,deficit
2612,deficit
2613,deficit
2614,deficit
2615,deficit
2616,deficit
2617,deficit
2618,balance
2619,balance
2620,deficit
2621,deficit
2622,deficit
2623,balance
2624,balance
2625,balance
2626,balance
2627,balance
2628,balance
2629,balance
2630,balance
