Tid,Supply-demand relationship
17,balance
18,balance
19,balance
203,balance
204,balance
205,balance
206,balance
207,balance
208,balance
209,balance
210,balance
211,balance
212,balance
391,balance
392,balance
393,balance
394,balance
395,balance
396,balance
397,balance
398,balance
399,balance
400,balance
580,balance
581,balance
582,balance
583,balance
584,balance
585,balance
586,balance
587,balance
588,balance
768,balance
769,balance
770,balance
771,balance
772,balance
773,balance
774,balance
775,balance
776,balance
953,balance
954,balance
955,balance
956,balance
957,balance
958,balance
959,balance
960,balance
961,balance
962,balance
963,balance
964,balance
965,balance
1139,balance
1140,balance
1141,balance
1142,balance
1143,balance
1144,balance
1145,balance
1146,balance
1147,balance
1148,balance
1149,balance
1150,balance
1151,balance
1153,balance
1326,balance
1327,balance
1328,balance
1329,balance
1330,balance
1331,balance
1332,balance
1333,balance
1334,balance
1335,balance
1336,balance
1337,balance
1338,balance
1339,balance
1340,balance
1513,balance
1514,balance
1515,balance
1516,balance
1517,balance
1518,balance
1519,balance
1520,balance
1521,balance
1522,balance
1523,balance
1524,balance
1525,balance
1526,balance
1527,balance
1528,balance
1529,balance
1700,balance
1701,balance
1702,balance
1703,balance
1704,balance
1705,balance
1706,balance
1707,balance
1708,balance
1709,balance
1710,balance
1711,balance
1712,balance
1713,balance
1714,balance
1715,balance
1716,balance
1717,balance
1718,balance
1757,balance
1758,balance
1759,balance
1887,balance
1888,balance
1889,balance
1890,balance
1891,balance
1892,balance
1893,balance
1894,balance
1895,balance
1896,balance
1897,balance
1898,balance
1899,balance
1900,balance
1901,balance
1902,balance
1903,balance
1904,balance
1905,balance
1906,balance
1944,balance
1945,balance
1946,balance
1947,balance
1948,balance
1949,balance
1952,balance
1953,balance
2072,balance
2073,balance
2074,balance
2075,balance
2076,balance
2077,balance
2078,balance
2079,balance
2080,balance
2081,balance
2082,balance
2083,balance
2084,balance
2085,balance
2086,balance
2087,balance
2088,balance
2089,balance
2090,balance
2091,balance
2092,balance
2093,balance
2094,balance
2097,balance
2098,balance
2099,balance
2100,balance
2131,balance
2132,balance
2133,balance
2134,balance
2135,balance
2136,balance
2137,balance
2138,balance
2140,balance
2141,balance
2142,balance
2260,balance
2261,balance
2262,balance
2263,balance
2264,balance
2265,balance
2266,balance
2267,balance
2268,balance
2269,balance
2270,balance
2271,balance
2272,balance
2273,balance
2274,balance
2275,balance
2276,balance
2277,balance
2278,balance
2279,balance
2280,balance
2281,balance
2282,balance
2283,balance
2285,balance
2286,balance
2287,balance
2288,balance
2289,balance
2311,balance
2319,balance
2320,balance
2321,balance
2322,balance
2323,balance
2324,balance
2325,balance
2326,balance
2327,balance
2328,balance
2329,balance
2330,balance
2331,balance
2448,balance
2449,balance
2450,balance
2451,balance
2452,balance
2453,balance
2454,balance
2455,balance
2456,balance
2457,balance
2458,balance
2459,balance
2460,balance
2461,balance
2462,balance
2463,balance
2464,balance
2465,balance
2466,balance
2467,balance
2468,balance
2469,balance
2470,balance
2471,balance
2472,balance
2473,balance
2474,balance
2475,balance
2476,balance
2477,balance
2478,balance
2497,balance
2498,balance
2499,balance
2500,balance
2501,balance
2502,balance
2507,balance
2508,balance
2509,balance
2510,balance
2511,balance
2512,balance
2513,balance
2514,balance
2515,balance
2516,balance
2517,balance
2518,balance
2519,balance
2520,balance
2521,balance
2635,balance
2636,balance
2637,balance
2638,balance
2639,balance
2640,balance
2641,balance
2642,balance
2643,balance
2644,balance
2645,balance
2646,balance
2647,balance
2648,balance
2649,balance
2650,balance
2651,balance
2652,balance
2653,balance
2654,balance
2655,balance
2656,balance
2657,balance
2658,balance
2659,balance
2660,balance
2661,balance
2662,balance
2663,balance
2664,balance
2665,balance
2666,balance
2669,balance
2670,balance
2671,balance
2672,balance
2684,balance
2685,balance
2686,balance
2687,balance
2688,balance
2689,balance
2690,balance
2691,balance
2692,balance
2693,balance
2694,balance
2695,balance
2696,balance
2697,balance
2698,balance
2699,balance
2700,balance
2701,balance
2702,balance
2703,balance
2704,balance
2705,balance
2706,balance
2707,balance
2708,balance
2709,balance
2710,balance
2711,balance
2794,balance
2795,balance
2796,balance
2797,balance
2823,balance
2824,balance
2825,balance
2826,balance
2827,balance
2828,balance
2829,balance
2830,balance
2831,balance
2832,balance
2833,balance
2834,balance
2835,balance
2836,balance
2837,balance
2838,balance
2839,balance
2840,balance
2841,balance
2842,balance
2843,balance
2844,balance
2845,balance
2846,balance
2847,balance
2848,balance
2849,balance
2850,balance
2851,balance
2852,balance
2853,balance
2854,balance
2855,balance
2856,balance
2857,balance
2858,balance
2859,balance
2860,balance
2861,balance
2865,balance
2866,balance
2872,balance
2873,balance
2874,balance
2875,balance
2876,balance
2877,balance
2878,balance
2879,balance
2880,balance
2881,balance
2882,balance
2883,balance
2884,balance
2885,balance
2886,balance
2887,balance
2888,balance
2889,balance
2890,balance
2891,balance
2892,balance
2893,balance
2894,balance
2895,balance
2896,balance
2897,balance
2898,balance
2899,balance
2900,balance
2937,balance
2938,balance
2943,balance
2944,balance
2945,balance
2951,balance
2952,balance
2953,balance
2954,balance
2980,balance
2981,balance
2982,balance
2983,balance
2984,balance
2985,balance
2986,balance
3013,balance
3014,balance
3015,balance
3016,balance
3017,balance
3018,balance
3019,balance
3020,balance
3021,balance
3022,balance
3023,balance
3024,balance
3025,balance
3026,balance
3027,balance
3028,balance
3029,balance
3030,balance
3031,balance
3032,balance
3033,balance
3034,balance
3035,balance
3036,balance
3037,balance
3038,balance
3039,balance
3040,balance
3041,balance
3042,balance
3043,balance
3044,balance
3045,balance
3046,balance
3047,balance
3048,balance
3049,balance
3050,balance
3051,balance
3052,balance
3053,balance
3054,balance
3062,balance
3063,balance
3064,balance
3065,balance
3066,balance
3067,balance
3068,balance
3069,balance
3070,balance
3071,balance
3072,balance
3073,balance
3074,balance
3075,balance
3076,balance
3077,balance
3078,balance
3079,balance
3080,balance
3081,balance
3082,balance
3083,balance
3084,balance
3085,balance
3086,balance
3087,balance
3088,balance
3125,balance
3126,balance
3127,balance
3128,balance
3131,balance
3132,balance
