Tid,Supply-demand relationship
52,balance
53,balance
54,balance
55,balance
57,balance
58,balance
59,balance
60,balance
61,balance
65,balance
66,balance
67,balance
68,balance
69,balance
75,balance
76,balance
77,balance
78,balance
79,balance
85,balance
89,balance
90,balance
161,balance
162,balance
163,balance
164,balance
165,balance
166,balance
167,balance
168,balance
169,balance
170,balance
171,balance
172,balance
173,balance
174,balance
175,balance
176,balance
177,balance
178,balance
179,balance
180,balance
181,balance
182,balance
183,balance
184,balance
185,balance
186,balance
187,balance
188,balance
189,balance
190,balance
191,balance
192,balance
193,balance
194,balance
195,balance
196,balance
197,balance
198,balance
199,balance
200,balance
201,balance
271,balance
272,balance
273,balance
274,balance
275,balance
276,balance
277,balance
278,balance
279,balance
280,balance
281,balance
282,balance
283,balance
284,balance
285,balance
286,balance
287,balance
288,balance
289,balance
290,balance
291,balance
292,balance
293,balance
294,balance
295,balance
296,balance
297,balance
298,balance
299,balance
300,balance
301,balance
302,balance
303,balance
304,balance
305,balance
306,balance
307,balance
308,balance
309,balance
310,balance
311,balance
312,balance
380,balance
381,balance
382,balance
383,balance
384,balance
385,balance
386,balance
387,balance
388,balance
389,balance
390,balance
391,balance
392,balance
393,balance
394,balance
395,balance
396,balance
397,balance
398,balance
399,balance
400,balance
401,balance
402,balance
403,balance
404,balance
405,balance
406,balance
407,balance
408,balance
409,surplus
410,balance
411,balance
412,balance
413,balance
414,balance
415,balance
416,balance
417,balance
418,balance
419,balance
420,balance
421,balance
422,balance
423,balance
424,balance
490,balance
491,balance
492,balance
493,balance
494,balance
495,balance
496,balance
497,balance
498,surplus
499,balance
500,balance
501,balance
502,balance
503,balance
504,balance
505,balance
506,balance
507,balance
508,balance
509,balance
510,balance
511,balance
512,balance
513,balance
514,balance
515,balance
516,balance
517,balance
518,balance
519,balance
520,balance
521,balance
522,balance
523,balance
524,balance
525,balance
526,balance
527,balance
528,balance
529,balance
530,balance
531,balance
532,balance
533,balance
534,balance
535,balance
536,balance
599,balance
600,balance
601,balance
602,balance
603,balance
604,balance
605,balance
606,balance
607,balance
608,balance
609,balance
610,balance
611,balance
612,balance
613,balance
614,balance
615,balance
616,balance
617,balance
618,balance
619,balance
620,balance
621,balance
622,balance
623,balance
624,balance
625,balance
626,balance
627,balance
628,balance
629,balance
630,balance
631,balance
632,balance
633,balance
634,balance
635,balance
636,balance
637,balance
638,balance
639,balance
640,balance
641,balance
642,balance
643,balance
644,balance
645,balance
646,balance
647,balance
704,balance
705,balance
706,balance
707,balance
708,balance
709,balance
710,balance
711,balance
712,balance
713,balance
714,balance
715,balance
716,balance
717,balance
718,balance
719,balance
720,balance
721,balance
722,balance
723,balance
724,balance
725,balance
726,balance
727,balance
728,balance
729,balance
730,balance
731,balance
732,balance
733,balance
734,balance
735,balance
736,balance
737,balance
738,balance
739,balance
740,balance
741,balance
742,balance
743,balance
744,balance
745,balance
746,balance
747,balance
748,balance
749,balance
750,balance
751,balance
752,balance
753,balance
754,balance
755,balance
756,balance
757,balance
758,balance
813,balance
814,balance
