Tid,Supply-demand relationship
3,balance
6,balance
7,balance
8,balance
16,balance
17,balance
18,balance
19,balance
20,balance
30,balance
31,balance
32,balance
186,balance
187,balance
188,balance
189,balance
190,balance
191,balance
192,balance
193,balance
194,balance
195,balance
196,balance
198,balance
199,balance
200,balance
201,balance
202,balance
203,balance
204,balance
205,balance
214,balance
215,balance
216,balance
217,balance
218,balance
370,balance
371,balance
372,balance
373,balance
374,balance
375,balance
376,balance
377,balance
378,balance
379,balance
380,balance
381,balance
382,balance
383,balance
384,balance
385,balance
386,balance
387,balance
388,balance
389,balance
390,balance
391,balance
398,balance
399,balance
400,balance
401,balance
402,balance
552,balance
553,balance
554,balance
555,balance
556,balance
557,balance
558,balance
559,balance
560,balance
561,balance
562,balance
563,balance
564,balance
565,balance
566,balance
567,balance
568,balance
569,balance
570,balance
571,balance
572,balance
573,balance
574,balance
575,balance
576,balance
582,balance
583,balance
584,balance
585,balance
586,balance
587,balance
596,balance
597,balance
736,balance
737,balance
738,balance
739,balance
740,balance
741,balance
742,balance
743,balance
744,balance
745,balance
746,balance
747,balance
748,balance
749,balance
750,balance
751,balance
752,balance
753,balance
754,balance
755,balance
756,balance
757,balance
758,balance
759,balance
760,balance
761,balance
762,balance
764,balance
765,balance
766,balance
767,balance
768,balance
769,balance
770,balance
771,balance
778,balance
779,balance
780,balance
781,balance
782,balance
920,balance
921,balance
922,balance
923,balance
924,balance
925,balance
926,balance
927,balance
928,balance
929,balance
930,balance
931,balance
932,balance
933,balance
934,balance
935,balance
936,balance
937,balance
938,balance
939,balance
940,balance
941,balance
942,balance
943,balance
944,balance
945,balance
946,balance
947,balance
948,balance
949,balance
950,balance
951,balance
952,balance
953,balance
954,balance
955,balance
956,balance
961,balance
962,balance
963,balance
964,balance
965,balance
966,balance
967,balance
1104,balance
1105,balance
1106,balance
1107,balance
1108,balance
1109,balance
1110,balance
1111,balance
1112,balance
1113,balance
1114,balance
1115,balance
1116,balance
1117,balance
1118,balance
1119,balance
1120,balance
1121,balance
1122,balance
1123,balance
1124,balance
1125,balance
1126,balance
1127,balance
1128,balance
1129,balance
1130,balance
1131,balance
1132,balance
1133,balance
1134,balance
1135,balance
1136,balance
1137,balance
1138,balance
1139,balance
1140,balance
1141,balance
1143,balance
1144,balance
1145,balance
1146,balance
1147,balance
1148,balance
1149,balance
1150,balance
1151,balance
1152,balance
1153,balance
1154,balance
1289,balance
1290,balance
1291,balance
1292,balance
1293,balance
1294,balance
1295,balance
1296,balance
1297,balance
1298,balance
1299,balance
1300,balance
1301,balance
1302,balance
1303,balance
1304,balance
1305,balance
1306,balance
1307,balance
1308,balance
1309,balance
1310,balance
1311,balance
1312,balance
1313,balance
1314,balance
1315,balance
1316,balance
1317,balance
1318,balance
1319,balance
1320,balance
1321,balance
1322,balance
1323,balance
1324,balance
1325,balance
1326,balance
1327,balance
1328,balance
1329,balance
1330,balance
1331,balance
1332,balance
1333,balance
1334,balance
1335,balance
1336,balance
1337,balance
1338,balance
1473,balance
1474,balance
1475,balance
1476,balance
1477,balance
1478,balance
1479,balance
1480,balance
1481,balance
1482,balance
1483,balance
1484,balance
1485,balance
1486,balance
1487,balance
1488,balance
1489,balance
1490,balance
1491,balance
1492,balance
1493,balance
1494,balance
1495,balance
1496,balance
1497,balance
1498,balance
1499,balance
1500,balance
1501,balance
1502,balance
1503,balance
1504,balance
1505,balance
1506,balance
1507,balance
1508,balance
1509,balance
1510,balance
1511,balance
1512,balance
1513,balance
1514,balance
1515,balance
1516,balance
1517,balance
1518,balance
1519,balance
1520,balance
1521,balance
1522,balance
1657,balance
1658,balance
1659,balance
1660,balance
1661,balance
1662,balance
1663,surplus
1664,balance
1665,balance
1666,balance
1667,balance
1668,balance
1669,balance
1670,balance
1671,balance
1672,balance
1673,balance
1674,balance
1675,balance
1676,balance
1677,balance
1678,balance
1679,balance
1680,balance
1681,balance
1682,balance
1683,balance
1684,balance
1685,balance
1686,balance
1687,balance
1688,balance
1689,balance
1690,balance
1691,balance
1692,balance
1693,balance
1694,balance
1695,balance
1696,balance
1697,balance
1698,balance
1699,balance
1700,balance
1701,balance
1702,balance
1703,balance
1704,balance
1705,balance
1841,balance
1842,balance
1843,balance
1844,balance
1845,balance
1846,balance
1847,balance
1848,balance
1849,balance
1850,balance
1851,balance
1852,balance
1853,balance
1854,balance
1855,balance
1856,balance
1857,balance
1858,balance
1859,balance
1860,balance
1861,balance
1862,balance
1863,balance
1864,balance
1865,balance
1866,balance
1867,balance
1868,balance
1869,balance
1870,balance
1871,balance
1872,balance
1873,balance
1874,balance
1875,balance
1876,balance
1877,balance
1878,balance
1879,balance
1880,balance
1881,balance
1882,balance
1883,balance
1884,balance
1885,balance
1886,balance
1887,balance
1888,balance
1889,balance
2025,balance
2026,balance
2027,balance
2028,balance
2029,balance
2030,balance
2031,balance
2032,balance
2033,balance
2034,balance
2035,balance
2036,balance
2037,balance
2038,balance
2039,balance
2040,surplus
2041,balance
2042,balance
2043,balance
2044,balance
2045,balance
2046,balance
2047,balance
2048,balance
2049,balance
2050,balance
2051,balance
2052,balance
2053,balance
2054,balance
2055,balance
2056,balance
2057,balance
2058,balance
2059,balance
2060,balance
2061,balance
2062,balance
2063,balance
2064,balance
2065,balance
2066,balance
2067,balance
2068,balance
2069,balance
2070,balance
2071,balance
2072,balance
2073,balance
2208,balance
2209,balance
2210,balance
2211,balance
2212,balance
2213,balance
2214,balance
2215,balance
2216,balance
2217,balance
2218,balance
2219,balance
2220,balance
2221,balance
2222,balance
2223,balance
2224,balance
2225,balance
2226,balance
2227,balance
2228,balance
2229,balance
2230,balance
2231,balance
2232,balance
2233,balance
2234,balance
2235,balance
2236,balance
2237,balance
2238,balance
2239,balance
2240,balance
2241,balance
2242,balance
2243,balance
2244,balance
2245,balance
2246,balance
2247,balance
2248,balance
2249,balance
2250,balance
2251,balance
2252,balance
2253,balance
2254,balance
2255,balance
2256,balance
2257,balance
2392,balance
2393,balance
2394,balance
2395,balance
2396,balance
2397,balance
2398,balance
2399,balance
2400,balance
2401,balance
2402,balance
2403,balance
2404,balance
2405,balance
2406,balance
2407,balance
2408,balance
2409,balance
2410,balance
2411,balance
2412,balance
2413,balance
2414,balance
2415,balance
2416,balance
2417,balance
2418,balance
2419,balance
2420,balance
2421,balance
2422,balance
2423,balance
2424,balance
2425,balance
2426,balance
2427,balance
2428,balance
2429,balance
2430,balance
2431,balance
2432,balance
2433,balance
2434,balance
2435,balance
2436,surplus
2437,balance
2438,balance
2439,balance
2440,balance
2441,balance
2442,balance
2576,balance
2577,balance
2578,balance
2579,balance
2580,balance
2581,balance
2582,balance
2583,balance
2584,balance
2585,balance
2586,balance
2587,balance
2588,balance
2589,balance
2590,balance
2591,balance
2592,balance
2593,balance
2594,balance
2595,balance
2596,balance
2597,balance
2598,balance
2599,balance
2600,balance
2601,balance
2602,balance
2603,balance
2604,balance
2605,balance
2606,balance
2607,balance
2608,balance
2609,balance
2610,balance
2611,balance
2612,balance
2613,balance
2614,balance
2615,balance
2616,balance
2617,balance
2618,balance
2619,balance
2620,balance
2621,balance
