Tid,Supply-demand relationship
51,balance
52,balance
53,balance
54,balance
55,balance
56,balance
57,balance
58,balance
59,balance
208,balance
209,balance
210,balance
211,balance
212,balance
213,balance
214,balance
215,balance
216,balance
217,balance
218,balance
365,balance
366,balance
367,balance
368,balance
369,balance
370,balance
371,balance
372,balance
373,balance
374,deficit
375,deficit
376,deficit
522,balance
523,balance
524,balance
525,balance
526,balance
527,balance
528,balance
529,balance
530,surplus
531,deficit
532,deficit
533,deficit
534,balance
679,balance
680,balance
681,balance
682,surplus
683,balance
684,balance
685,balance
686,balance
687,surplus
688,balance
689,balance
690,balance
691,balance
692,balance
835,balance
836,balance
837,balance
838,balance
839,balance
840,balance
841,balance
842,surplus
843,balance
844,balance
845,balance
846,balance
847,balance
848,balance
849,balance
850,balance
991,balance
992,balance
993,balance
994,balance
995,balance
996,balance
997,balance
998,balance
999,balance
1000,surplus
1001,surplus
1002,surplus
1003,balance
1004,balance
1005,balance
1006,balance
1007,balance
1008,balance
1146,balance
1147,balance
1148,balance
1149,balance
1150,balance
1151,balance
1152,balance
1153,balance
1154,balance
1155,balance
1156,balance
1157,surplus
1158,surplus
1159,surplus
1160,balance
1161,balance
1162,balance
1163,balance
1164,balance
1165,balance
1166,balance
1167,balance
1302,balance
1303,balance
1304,balance
1305,balance
1306,balance
1307,balance
1308,balance
1309,balance
1310,balance
1311,balance
1312,balance
1313,balance
1314,balance
1315,balance
1316,balance
1317,balance
1318,balance
1319,balance
1320,balance
1321,balance
1322,balance
1323,balance
1324,balance
1325,balance
1326,balance
1459,balance
1460,balance
1461,balance
1462,surplus
1463,balance
1464,balance
1465,balance
1466,balance
1467,balance
1468,balance
1469,balance
1470,balance
1471,balance
1472,balance
1473,balance
1474,balance
1475,balance
1476,balance
1477,balance
1478,balance
1479,balance
1480,balance
1481,balance
1482,balance
1483,balance
1484,balance
1485,balance
1603,balance
1604,balance
1608,balance
1609,balance
1610,balance
1615,balance
1616,balance
1617,balance
1618,balance
1619,balance
1620,balance
1621,balance
1622,balance
1623,balance
1624,balance
1625,balance
1626,balance
1627,balance
1628,balance
1629,balance
1630,balance
1631,balance
1632,balance
1633,balance
1634,balance
1635,balance
1636,balance
1637,balance
1638,balance
1639,balance
1640,balance
1641,balance
1642,balance
1643,balance
1644,balance
1645,balance
1759,balance
1760,balance
1761,balance
1762,balance
1763,balance
1764,balance
1765,balance
1766,balance
1767,balance
1768,balance
1769,balance
1770,balance
1771,balance
1772,balance
1773,balance
1774,balance
1775,balance
1776,balance
1777,balance
1778,balance
1779,balance
1780,balance
1781,balance
1782,balance
1783,balance
1784,balance
1785,surplus
1786,balance
1787,balance
1788,balance
1789,balance
1790,balance
1791,balance
1792,balance
1793,balance
1794,balance
1795,balance
1796,balance
1797,balance
1798,balance
1799,balance
1800,balance
1801,balance
1802,balance
1803,balance
1804,balance
1916,balance
1917,balance
1918,balance
1919,balance
1920,balance
1921,balance
1922,balance
1923,balance
1924,balance
1925,balance
1926,balance
1927,balance
1928,balance
1929,balance
1930,balance
1931,balance
1932,balance
1933,balance
1934,balance
1935,balance
1936,balance
1937,balance
1938,balance
1939,balance
1940,balance
1941,balance
1942,balance
1943,balance
1944,balance
1945,balance
1946,balance
1947,balance
1948,balance
1949,balance
1950,balance
1951,balance
1952,balance
1953,balance
1954,balance
1955,balance
1956,balance
1957,balance
1958,balance
1959,balance
1960,balance
1961,balance
1962,balance
1963,balance
2073,balance
2074,balance
2075,balance
2076,balance
2077,balance
2078,balance
2079,balance
2080,balance
2081,balance
2082,balance
2083,balance
2084,balance
2085,balance
2086,balance
2087,balance
2088,balance
2089,balance
2090,balance
2091,balance
2092,balance
2093,balance
2094,surplus
2095,balance
2096,balance
2097,balance
2098,balance
2099,balance
2100,balance
2101,balance
2102,balance
2103,balance
2104,balance
2105,balance
2106,balance
2107,balance
2108,balance
2109,balance
2110,balance
2111,balance
2112,balance
2113,balance
2114,balance
2115,balance
2116,balance
2117,balance
2118,balance
2119,balance
2120,balance
2121,balance
2122,balance
2123,balance
2230,balance
2231,balance
2232,balance
2233,balance
2234,balance
2235,balance
2236,balance
2237,balance
2238,balance
2239,balance
2240,balance
2241,balance
2242,balance
2243,balance
2244,balance
2245,balance
2246,balance
2247,balance
2248,balance
2249,balance
2250,balance
2251,balance
2252,balance
2253,balance
2254,balance
2255,balance
2256,balance
2257,balance
2258,balance
2259,balance
2260,balance
2261,balance
2262,balance
2263,balance
2264,balance
2265,balance
2266,balance
2267,balance
2268,balance
2269,balance
2270,balance
2271,balance
2272,balance
2273,balance
2274,balance
2275,balance
2276,balance
2277,balance
2278,balance
2279,balance
2280,balance
2281,balance
2282,balance
2283,balance
2387,balance
2388,balance
2389,balance
2390,balance
2391,balance
2392,balance
2393,balance
2394,balance
2395,balance
2396,balance
2397,balance
2398,balance
2399,balance
2400,balance
2401,balance
2402,balance
2403,balance
2404,balance
2405,balance
