Tid,Supply-demand relationship
4,balance
5,balance
6,balance
7,balance
112,balance
113,balance
114,balance
115,balance
116,balance
221,balance
222,balance
223,balance
224,balance
225,balance
331,balance
332,balance
747,balance
748,balance
749,balance
855,balance
856,balance
857,balance
858,balance
887,deficit
888,deficit
889,deficit
890,deficit
962,balance
963,balance
964,balance
965,balance
966,balance
967,balance
968,balance
995,deficit
996,deficit
997,deficit
998,deficit
999,deficit
1000,deficit
1002,deficit
1071,balance
1072,balance
1073,balance
1074,surplus
1075,balance
1076,balance
1077,balance
1078,balance
1080,balance
1081,balance
1103,deficit
1104,deficit
1105,deficit
1106,balance
1107,deficit
1108,deficit
1109,balance
1110,deficit
1111,deficit
1112,deficit
1113,deficit
1180,balance
1181,balance
1182,balance
1183,balance
1184,balance
1185,balance
1186,balance
1187,balance
1188,balance
1189,balance
1190,balance
1191,balance
1192,balance
1193,balance
1212,deficit
1213,deficit
1214,deficit
1215,deficit
1216,deficit
1217,deficit
1218,balance
1219,deficit
1220,surplus
1221,deficit
1222,deficit
1289,balance
1290,balance
1291,balance
1292,balance
1293,balance
1294,balance
1295,balance
1296,balance
1297,balance
1298,balance
1299,balance
1300,balance
1301,balance
1302,balance
1303,balance
1304,balance
1321,deficit
1322,surplus
1323,deficit
1324,balance
1325,deficit
1326,deficit
1327,surplus
1328,balance
1329,balance
1330,deficit
1331,deficit
1332,balance
1398,balance
1399,balance
1400,balance
1401,balance
1402,balance
1403,balance
1404,balance
1405,balance
1406,balance
1407,balance
1408,balance
1409,balance
1410,surplus
1411,balance
1412,balance
1413,balance
1414,balance
1415,balance
1430,deficit
1431,deficit
1432,surplus
1433,surplus
1434,balance
1435,deficit
1436,balance
1437,deficit
1438,deficit
1439,deficit
1440,deficit
1441,balance
1450,deficit
1451,deficit
1452,deficit
1453,surplus
1454,deficit
1455,deficit
1507,balance
1508,balance
1509,balance
1510,balance
1511,balance
1512,balance
1513,balance
1514,balance
1515,balance
1516,balance
1517,balance
1518,balance
1519,balance
1520,balance
1521,balance
1522,balance
1523,balance
1524,balance
1525,balance
1539,deficit
1540,deficit
1541,deficit
1542,deficit
1543,surplus
1544,surplus
1545,balance
1546,deficit
1547,balance
1548,balance
1549,deficit
1550,deficit
1559,deficit
1560,balance
1561,surplus
1562,surplus
1563,balance
1564,deficit
1565,deficit
1566,deficit
1616,balance
1617,balance
1618,balance
1619,balance
1620,balance
1621,balance
1622,balance
1623,balance
1624,balance
1625,balance
1626,balance
1627,balance
1628,balance
1629,balance
1630,balance
