Tid,Supply-demand relationship
67,balance
68,balance
69,balance
70,balance
71,balance
72,balance
74,balance
75,balance
76,balance
236,balance
237,balance
238,balance
239,balance
240,balance
241,balance
242,balance
243,balance
244,balance
245,balance
246,balance
247,balance
248,balance
249,balance
250,balance
252,balance
253,balance
254,balance
255,balance
406,balance
407,balance
408,balance
409,surplus
410,balance
411,balance
412,balance
413,balance
414,balance
415,balance
416,balance
417,balance
418,balance
419,balance
420,balance
422,balance
423,balance
424,balance
425,balance
426,balance
558,balance
559,balance
560,balance
561,balance
576,balance
577,balance
578,balance
579,balance
580,balance
581,balance
582,balance
583,balance
584,balance
585,balance
586,balance
587,balance
588,balance
589,balance
590,balance
591,balance
592,balance
593,balance
594,balance
595,balance
596,balance
597,balance
728,balance
729,balance
730,balance
731,balance
732,balance
746,balance
747,balance
748,balance
749,balance
750,balance
751,balance
752,balance
753,balance
754,balance
755,balance
756,balance
757,balance
758,balance
759,balance
760,balance
761,balance
762,balance
763,balance
764,balance
765,balance
766,balance
767,balance
768,balance
769,balance
770,balance
897,balance
898,balance
899,balance
900,balance
901,surplus
902,balance
903,balance
917,balance
918,balance
919,balance
920,balance
921,balance
922,balance
923,balance
924,balance
925,balance
926,balance
927,balance
928,balance
929,balance
930,balance
931,balance
932,balance
933,balance
934,balance
935,balance
936,balance
937,balance
938,balance
939,balance
940,balance
941,balance
942,balance
943,balance
1065,balance
1066,balance
1067,surplus
1068,balance
1069,balance
1070,balance
1071,balance
1072,balance
1073,balance
1074,balance
1075,balance
1088,balance
1089,balance
1090,balance
1091,balance
1092,balance
1093,balance
1094,balance
1095,balance
1096,balance
1097,balance
1098,balance
1099,balance
1100,balance
1101,balance
1102,balance
1103,balance
1104,balance
1105,balance
1106,balance
1107,balance
1108,balance
1109,balance
1110,balance
1111,balance
1112,balance
1113,balance
1114,balance
1115,balance
1116,balance
1121,balance
1122,balance
1123,balance
1124,balance
1234,balance
1235,balance
1236,balance
1237,balance
1238,balance
1239,balance
1240,balance
1241,balance
1242,balance
1243,surplus
1244,balance
1245,balance
1246,balance
1247,balance
1248,balance
1249,balance
1255,balance
1256,balance
1257,balance
1258,balance
1259,balance
1260,balance
1261,balance
1262,balance
1263,balance
1264,balance
1265,balance
1266,balance
1267,balance
1268,balance
1269,balance
1270,balance
1271,balance
1272,balance
1273,balance
1274,balance
1275,balance
1276,balance
1277,balance
1278,balance
1279,balance
1280,balance
1281,balance
1282,balance
1283,balance
1284,balance
1285,balance
1286,balance
1287,balance
1288,balance
1289,balance
1290,balance
1291,balance
1292,balance
1293,balance
1294,balance
1295,balance
1296,balance
1297,balance
1298,balance
1299,balance
1300,balance
1301,balance
1302,balance
1404,balance
1405,balance
1406,balance
1407,balance
1408,balance
1409,balance
1410,balance
1411,balance
1412,balance
1413,surplus
1414,balance
1415,balance
1416,balance
1417,balance
1418,balance
1419,balance
1420,balance
1421,balance
1424,balance
1425,balance
1426,balance
1427,balance
1428,balance
1429,surplus
1430,balance
1431,balance
1432,balance
1433,balance
1434,balance
1435,balance
1436,balance
1437,balance
1438,balance
1439,balance
1440,balance
1441,balance
1442,balance
1443,balance
1444,balance
1445,balance
1446,balance
1447,balance
1448,balance
1449,balance
1450,balance
1451,balance
1452,balance
1453,balance
1454,balance
1455,balance
1456,balance
1457,balance
1458,balance
1459,balance
1460,balance
1461,balance
1462,balance
1463,balance
1464,balance
1465,balance
1466,balance
1467,balance
1468,balance
1469,balance
1470,balance
1471,balance
1472,balance
1573,balance
1574,balance
1575,balance
1576,balance
1577,surplus
1578,balance
1579,surplus
1580,balance
1581,balance
1582,balance
1583,surplus
1584,balance
1585,balance
1586,balance
1587,balance
1588,balance
1589,balance
1590,balance
1591,balance
1592,balance
1594,balance
1595,balance
1596,balance
1597,surplus
1598,balance
1599,balance
1600,balance
1601,balance
1602,balance
1603,balance
1604,balance
1605,balance
1606,balance
1607,balance
1608,balance
1609,balance
1610,balance
1611,balance
1612,balance
1613,balance
1614,balance
1615,balance
1616,balance
1617,balance
1618,balance
1619,balance
1620,balance
1621,balance
1622,balance
1623,balance
1624,balance
1625,balance
1626,balance
1627,balance
1628,balance
1629,balance
1630,balance
1631,balance
1632,balance
1633,balance
1634,balance
1635,balance
1636,balance
1637,balance
1638,balance
1639,balance
1640,balance
1641,balance
1642,balance
1742,balance
1743,balance
1744,balance
