Tid,Supply-demand relationship
20,balance
21,balance
22,balance
23,balance
24,balance
25,balance
287,balance
288,balance
289,balance
290,balance
291,balance
292,balance
293,balance
294,balance
295,balance
296,balance
319,balance
320,balance
551,balance
552,balance
553,balance
554,balance
555,balance
556,balance
557,balance
558,balance
559,balance
560,balance
561,balance
562,balance
563,balance
564,balance
565,balance
566,balance
567,balance
568,balance
569,balance
587,balance
588,balance
589,balance
590,balance
591,balance
592,balance
597,balance
598,balance
599,balance
601,balance
602,balance
603,balance
604,balance
605,balance
606,balance
607,balance
816,balance
817,balance
818,balance
819,balance
820,balance
821,balance
822,balance
823,balance
824,balance
825,balance
826,balance
827,balance
828,balance
829,balance
830,balance
831,balance
832,balance
833,balance
834,balance
835,balance
836,balance
837,balance
838,balance
839,balance
840,balance
856,balance
857,balance
858,balance
859,balance
860,balance
861,balance
862,balance
863,balance
864,balance
865,balance
866,balance
867,balance
868,balance
869,balance
870,balance
871,balance
872,balance
873,balance
874,balance
875,balance
876,balance
877,balance
878,balance
879,balance
880,balance
881,balance
882,balance
883,balance
1087,balance
1088,balance
1089,balance
1090,balance
1091,balance
1092,balance
1093,balance
1094,balance
1095,balance
1096,balance
1097,balance
1098,balance
1099,balance
1100,balance
1101,balance
1102,balance
1103,balance
1104,balance
1105,balance
1106,balance
1107,balance
1108,balance
1109,balance
1110,balance
1111,balance
1112,balance
1115,balance
1116,balance
1117,balance
1122,balance
1123,balance
1124,balance
1125,balance
1126,balance
1127,balance
1128,balance
1129,balance
1130,balance
1131,balance
1132,balance
1133,balance
1134,balance
1135,balance
1136,balance
1137,balance
1138,balance
1139,balance
1140,balance
1141,balance
1142,balance
1143,balance
1144,balance
1145,balance
1146,balance
1147,balance
1148,balance
1149,balance
1150,balance
1151,balance
1152,balance
1153,balance
1154,balance
1155,balance
1156,balance
1358,balance
1359,balance
1360,balance
1361,balance
1362,balance
1363,balance
1364,balance
1365,balance
1366,balance
1367,balance
1368,balance
1369,balance
1370,balance
1371,balance
1372,balance
1373,balance
1374,balance
1375,balance
1376,balance
1377,balance
1378,balance
1379,balance
1380,balance
1381,balance
1382,balance
1383,balance
1385,balance
1386,balance
1387,balance
1388,balance
1389,balance
1390,balance
1391,balance
1392,balance
1393,balance
1394,balance
1395,balance
1396,balance
1397,balance
1398,balance
1399,balance
1400,balance
1401,balance
1402,balance
1403,balance
1404,balance
1405,balance
1406,balance
1407,balance
1408,balance
1409,balance
1410,balance
1411,balance
1412,balance
1413,balance
1414,balance
1415,balance
1416,balance
1417,balance
1418,balance
1419,balance
1420,balance
1421,balance
1422,balance
1423,balance
1424,balance
1425,balance
1426,balance
1427,balance
1428,balance
1628,balance
1629,balance
1630,balance
1631,balance
1632,balance
1633,balance
1634,balance
1635,balance
1636,balance
1637,balance
1638,balance
1639,balance
1640,balance
1641,balance
1642,balance
1643,balance
1644,balance
1645,balance
1646,balance
1647,balance
1648,balance
1649,balance
1650,balance
1651,balance
1652,balance
1653,balance
1654,balance
1655,balance
1656,balance
1657,balance
1658,balance
1659,balance
1660,balance
1661,balance
1662,balance
1663,balance
1664,balance
1665,balance
1666,balance
1667,balance
1668,balance
1669,balance
1670,balance
1671,balance
1672,balance
1673,balance
1674,balance
1675,balance
1676,balance
1677,balance
1678,balance
1679,balance
1680,balance
1681,balance
1682,balance
1683,balance
1684,balance
1685,balance
1686,balance
1687,balance
1688,balance
1689,balance
1690,balance
1691,balance
1692,balance
1693,balance
1694,balance
1695,balance
1696,balance
1697,balance
1698,balance
1699,balance
1700,balance
1897,balance
1898,balance
1899,balance
1900,balance
1901,balance
1902,balance
1903,balance
1904,balance
1905,balance
1906,balance
1907,balance
1908,balance
1909,balance
1910,balance
1911,balance
1912,balance
1913,balance
1914,balance
1915,balance
1916,balance
1917,balance
1918,balance
1919,balance
1920,balance
1921,balance
1922,balance
1923,balance
1924,balance
1925,balance
1926,balance
1927,balance
1928,balance
1929,balance
1930,balance
1931,balance
1932,balance
1933,balance
1934,balance
1935,balance
1936,balance
1937,balance
1938,balance
1939,balance
1940,balance
1941,balance
1942,balance
1943,balance
1944,balance
1945,balance
1946,balance
1947,balance
1948,balance
1949,balance
1950,balance
1951,balance
1952,balance
1953,balance
1954,balance
1955,balance
1956,balance
1957,balance
1958,balance
1959,balance
1960,balance
1961,balance
1962,balance
1963,balance
1964,balance
1965,balance
1966,balance
1967,balance
1968,balance
1969,balance
1970,balance
