Tid,Supply-demand relationship
44,balance
45,balance
46,balance
47,balance
48,balance
49,balance
50,balance
51,balance
52,balance
53,balance
54,balance
230,balance
231,balance
232,balance
233,balance
234,balance
235,balance
236,balance
237,balance
238,balance
239,balance
240,balance
241,balance
242,balance
243,balance
303,balance
304,balance
305,balance
306,balance
308,balance
309,balance
412,balance
413,balance
414,balance
415,balance
416,balance
417,balance
418,balance
419,balance
420,balance
421,surplus
422,balance
423,balance
424,balance
425,balance
426,balance
427,balance
428,balance
429,balance
430,balance
431,balance
489,balance
490,balance
491,balance
492,balance
493,balance
494,balance
495,balance
496,balance
497,balance
584,balance
585,balance
597,balance
598,balance
599,balance
600,balance
601,balance
602,balance
603,balance
604,balance
605,balance
606,balance
607,balance
608,balance
609,balance
610,surplus
611,balance
612,balance
613,balance
614,balance
615,balance
616,balance
617,balance
618,balance
675,balance
676,balance
677,balance
678,balance
679,surplus
680,balance
681,balance
682,surplus
683,surplus
684,balance
685,balance
762,balance
763,balance
764,balance
765,balance
766,balance
767,balance
768,balance
769,surplus
770,balance
771,balance
772,balance
773,balance
774,balance
775,balance
776,balance
777,balance
778,balance
779,balance
780,balance
781,balance
782,balance
783,balance
784,balance
785,balance
786,balance
787,balance
788,balance
789,surplus
790,balance
791,balance
792,balance
793,balance
794,balance
795,balance
796,surplus
797,balance
798,balance
799,balance
800,surplus
801,balance
802,balance
803,balance
804,balance
805,balance
806,balance
861,balance
862,surplus
863,balance
864,surplus
865,balance
866,balance
867,surplus
868,balance
869,balance
870,balance
871,balance
872,balance
949,balance
950,balance
951,balance
952,balance
953,balance
954,balance
955,balance
956,balance
957,balance
958,balance
959,balance
960,balance
961,balance
962,balance
963,balance
964,balance
965,balance
966,balance
967,balance
968,balance
969,balance
970,balance
971,balance
972,balance
973,balance
974,balance
975,balance
976,balance
977,balance
978,balance
979,balance
980,balance
981,balance
982,balance
983,balance
984,balance
985,balance
986,balance
987,balance
988,balance
989,surplus
990,balance
991,balance
992,balance
993,balance
994,balance
1046,balance
1047,balance
1048,balance
1049,balance
1050,balance
1051,balance
1052,surplus
1053,balance
1054,balance
1055,balance
1056,surplus
1057,balance
1058,balance
1059,balance
1060,balance
1061,balance
1136,balance
1137,balance
1138,balance
1139,balance
1140,balance
1141,surplus
1142,balance
1143,balance
1144,balance
1145,balance
1146,balance
1147,balance
1148,balance
1149,balance
1150,balance
1151,balance
1152,balance
1153,balance
1154,balance
1155,surplus
1156,balance
1157,balance
1158,balance
1159,surplus
1160,balance
1161,balance
1162,balance
1163,balance
1164,balance
1165,balance
1166,balance
1167,balance
1168,balance
1169,balance
1170,balance
1171,surplus
1172,balance
1173,balance
1174,balance
1175,balance
1176,balance
1177,balance
1178,balance
1179,balance
1180,balance
1181,balance
1182,balance
1183,balance
1223,balance
1224,balance
1225,balance
1226,balance
1227,balance
1230,balance
1231,balance
1232,balance
1233,balance
1234,balance
1235,balance
1236,balance
1237,balance
1238,balance
1239,balance
1240,balance
1241,balance
1242,surplus
1243,balance
1244,balance
1245,balance
1246,surplus
1247,balance
1248,balance
1249,balance
1250,balance
1251,balance
1252,balance
1253,balance
1254,balance
1324,balance
1325,balance
1326,balance
1327,balance
1328,balance
1329,balance
1330,balance
1331,balance
1332,balance
1333,balance
1334,balance
1335,balance
1336,balance
1337,balance
1338,balance
1339,balance
1340,balance
1341,balance
1342,balance
1343,balance
1344,balance
1345,balance
1346,balance
1347,balance
1348,surplus
1349,surplus
1350,balance
1351,balance
1352,surplus
1353,surplus
1354,balance
1355,balance
1356,balance
1357,balance
1358,balance
1359,balance
1360,balance
1361,balance
1362,balance
1363,balance
1364,balance
1365,balance
1366,balance
1367,surplus
1368,surplus
1369,balance
1370,balance
1371,balance
1409,balance
1410,balance
1411,balance
1412,balance
1413,balance
1414,balance
1415,balance
1416,balance
1417,balance
1418,balance
1419,balance
1420,balance
1421,balance
1422,balance
1423,balance
1424,surplus
1425,balance
1426,balance
1427,balance
1428,balance
1429,balance
1430,balance
1431,balance
1432,balance
1433,balance
1434,surplus
1435,balance
1436,balance
1437,surplus
1438,balance
1439,balance
1440,balance
1441,surplus
1442,balance
1447,balance
1448,balance
1449,balance
1450,balance
1504,balance
1505,balance
1508,balance
1509,balance
1510,balance
1511,balance
1512,balance
1513,balance
1514,balance
1515,balance
1516,balance
1517,surplus
1518,balance
1519,balance
1520,balance
1521,balance
1522,balance
1523,balance
1524,balance
1525,balance
1526,balance
1527,balance
1528,balance
1529,balance
1530,balance
1531,balance
1532,balance
1533,balance
1534,balance
1535,balance
1536,balance
1537,balance
1538,balance
1539,balance
1540,balance
1541,balance
1542,balance
1543,balance
1544,balance
1545,balance
1546,balance
1547,balance
1548,balance
1549,balance
1550,balance
1551,balance
1552,balance
1553,balance
1554,balance
1555,balance
1556,balance
1557,balance
1558,balance
1559,balance
1588,balance
1589,balance
1595,balance
1596,balance
1597,balance
1598,balance
1599,balance
1600,balance
1601,balance
1602,balance
1603,balance
1604,balance
1605,surplus
1606,balance
1607,balance
1608,balance
1609,surplus
1610,surplus
1611,balance
1612,balance
1613,surplus
1614,balance
1615,balance
1616,surplus
1617,balance
1618,balance
1619,surplus
1620,balance
1621,balance
1622,balance
1623,balance
1624,surplus
1625,balance
1626,surplus
1627,balance
1628,balance
1629,balance
1630,balance
1632,balance
1633,balance
1634,balance
1635,balance
1636,balance
1637,balance
1638,balance
1639,balance
1640,balance
1641,balance
1642,balance
1691,balance
1692,balance
1693,balance
1694,balance
1695,balance
1696,balance
1697,balance
1698,balance
1699,balance
1700,balance
1701,balance
1702,balance
1703,balance
1704,balance
1705,balance
1706,balance
1707,balance
1708,balance
1709,balance
1710,balance
1711,balance
1712,balance
1713,surplus
1714,balance
1715,surplus
1716,balance
1717,balance
1718,balance
1719,balance
1720,balance
1721,balance
1722,balance
1723,balance
1724,balance
1725,balance
1726,balance
1727,balance
1728,balance
1729,balance
1730,balance
1731,balance
1732,balance
1733,balance
1734,balance
1735,balance
1736,balance
1737,balance
1738,balance
1739,balance
1740,balance
1741,balance
1742,balance
1743,balance
1744,balance
1745,balance
1746,balance
1747,balance
1748,balance
1749,balance
1750,balance
1751,balance
1752,balance
1773,balance
1774,balance
1775,balance
1776,balance
1777,balance
1778,balance
1779,balance
1780,balance
1781,balance
1782,balance
1783,balance
1784,balance
1785,balance
1786,surplus
1787,balance
1788,balance
1789,balance
1790,balance
1791,balance
1792,balance
1793,balance
1794,surplus
1795,balance
1796,balance
1797,balance
1798,surplus
1799,balance
1800,balance
1801,surplus
1802,balance
1803,surplus
1804,surplus
1805,balance
1806,balance
1807,balance
1808,surplus
1809,surplus
1810,balance
1811,balance
1812,surplus
1813,balance
1814,balance
1815,balance
1816,balance
1817,balance
1818,balance
1819,balance
1820,balance
1821,balance
1822,balance
1823,balance
1824,balance
1825,balance
1826,balance
1827,balance
1828,balance
1829,balance
1874,balance
1875,balance
1876,balance
1877,balance
1878,balance
1879,balance
1880,balance
1881,surplus
1882,balance
1883,balance
1884,balance
1885,balance
1886,balance
1887,balance
