FID,Tid,Hazard,Con_pop,CBRA,County
1,-2,0.0,0.0,0.0,0
2,-2,0.0,0.0,0.0,0
3,-2,0.0,0.0,0.0,0
4,-2,0.0,0.0,0.0,0
5,-2,0.0,188.319385529,0.0,0
6,-2,0.0,1716.22413349,5182.0,0
7,-2,0.0,553.83436203,16317.0,0
8,-2,0.0,461.84280777,8683.0,0
9,-2,0.0,119.655340672,6953.000000000001,0
10,-2,0.0,97.4827799797,1421.0,0
11,-2,0.0,13.7237048149,88.0,0
12,-2,0.0,0.0,0.0,0
13,-2,0.0,0.0,0.0,0
14,-2,0.0,289.665608406,0.0,0
15,-2,0.0,358.715272427,340.9999999999999,0
16,-2,0.0,599.607325554,36550.0,0
17,-2,0.0,69.1255822182,0.0,0
18,-2,0.0,144.484320641,12349.0,0
19,-2,0.0,71.9016199112,304.0,0
20,-2,0.0,797.569280624,14728.0,0
21,-2,0.0,821.03776741,38588.00000000001,0
22,-2,0.0,301.909123898,15264.0,0
23,-2,0.0,7.26702785492,0.0,0
24,-2,0.0,178.347047806,0.0,0
25,-2,0.0,16.2526516914,0.0,0
26,-2,0.0,215.309504986,2294.0,0
27,-2,0.0,398.292716503,13508.0,0
28,-2,0.0,359.096551895,3396.0,0
29,-2,0.0,309.869663715,353.0,0
30,-2,0.0,553.752898693,5896.0,0
31,-2,0.0,504.259637356,6819.999999999999,0
32,-2,0.0,261.153747082,853.9999999999999,0
33,-2,0.0,233.433111668,189.0,0
34,-2,0.0,235.307302952,2114.0,0
35,-2,0.0,381.757117748,6097.0,0
36,-2,0.0,66.5351119041,819.0,0
37,-2,0.0,87.8990719318,0.0,0
38,-2,0.0,48.1891739368,0.0,0
39,-2,0.0,11.6010966301,1175.0,0
40,-2,0.0,158.011897087,0.0,0
41,-2,0.0,35.1560735703,0.0,0
42,-2,0.0,313.768895626,160.0,0
43,-2,0.0,737.951060295,30366.0,0
44,-2,0.0,344.256246567,18225.0,0
45,-2,0.0,0.0,0.0,0
46,-2,0.0,0.0,0.0,0
47,-2,0.0,0.0,0.0,0
48,-2,0.0,289.062567234,2419.0,0
49,-2,0.0,619.605290413,30551.0,0
50,-2,0.0,514.295143604,20137.0,0
51,-2,0.0,61.8651618958,0.0,0
